code,title,image_url,page_url,views,date_scraped
JUY-983-RM,Countdown to Creampie. Leona Kirishima [Uncensored L**ked],https://pic.javct.net/poster/20221202/1646702625.jpg,https://javct.net/v/juy-983-rm,118,2026-03-24
JUY-368-RM,"I Was Continuously R**ed By My Husband's Boss, And On The 7th Day, I Lost My Mind... Mako Oda [Uncensored L**ked]",https://pic.javct.net/poster/20212011/1640937083.jpg,https://javct.net/v/juy-368-rm,115,2026-03-24
PRED-379-SUB,"When My Husband was Away, My Father-in-Law I Hate Made Me Cum Like Never Before...Luna Tsukino [English Subtitle]",https://pic.javct.net/poster/20212011/1644559936.jpg,https://javct.net/v/pred-379-sub,119,2026-03-24
SSIS-231-US,"Younger Man Unable to Resist Tempting Posing of 8-Headed Beautiful-Legged Married Woman in Far Window After Moving Home! Marin Hinata [English Subtitle, Reducing Mosaic]",https://pic.javct.net/poster/20212709/1636093523.jpg,https://javct.net/v/ssis-231-us,119,2026-03-24
NGOD-171-RM,"The Woman From The Convenience Store Headquarters, 11. Sarina Momonaga [Uncensored L**ked]",https://pic.javct.net/poster/20221904/1651814576.jpg,https://javct.net/v/ngod-171-rm,120,2026-03-24
GNAX-017-RM,New Intruder Ai Mukai [Uncensored L**ked],https://pic.javct.net/poster/20212709/1633769550.jpg,https://javct.net/v/gnax-017-rm,105,2026-03-24
HOMA-093-RM,"I'm Working As A Private Tutor For My Girlfriend's Little Sister (A Neat And Clean J*), But... The Truth Is That She's An Orgasmic Bitch, And Secretly Hitting Me With Siren Reverse NTR Plays When My Girlfriend's Not Looking Yui Nagase [Uncensored L**ked]",https://pic.javct.net/poster/20221108/1660784835.jpg,https://javct.net/v/homa-093-rm,121,2026-03-24
NGOD-170-RM,I Got Fingered By My Husband's Mean Boss... Nene Tanaka [Uncensored L**ked],https://pic.javct.net/poster/20221202/1649409013.jpg,https://javct.net/v/ngod-170-rm,147,2026-03-24
JUY-938-RM,"""My Wife Received Another Suspicious Letter..."" A Married Woman Who Invites Chance Into Her Life - Ai Mukai [Uncensored L**ked]",https://pic.javct.net/poster/20212011/1639973476.jpg,https://javct.net/v/juy-938-rm,120,2026-03-24
JUY-505-RM,Up Close And Personal Sex My Neighbor And I Are Committing Hungry And Ravenous Double Adultery Yuka Oshima [Uncensored L**ked],https://pic.javct.net/poster/20221202/1647503902.jpg,https://javct.net/v/juy-505-rm,120,2026-03-24
SCD-198-RM,She's Good At Getting Fucked A Bus Tour Guide In A Miniskirt Arisa Hanyu [Uncensored L**ked],https://pic.javct.net/poster/20212709/1634400573.jpg,https://javct.net/v/scd-198-rm,122,2026-03-24
JUX-865-RM,But I Still Love You. Nozomi Tanihara [Uncensored L**ked],https://pic.javct.net/poster/20221202/1646177860.jpg,https://javct.net/v/jux-865-rm,119,2026-03-24
JUL-651-RM,"A Shocking Transfer No.2!! Her First True NTR Video!! Husband-And-Wife Swapping NTR Shocking Infidelity Videos Of My Wife And A Friend, Fucking By The Window Rinka Tahara [Uncensored L**ked]",https://static.javct.net/poster/jul-651.jpg,https://javct.net/v/jul-651-rm,120,2026-03-24
PRED-362-US,"My Wife And I Are Bored Of Each Other So Tempted By Karen (Step Sister) And Creampie Her Again And Again. Karen Yuzurihara [English Subtitle, Reducing Mosaic]",https://pic.javct.net/poster/20212011/1639724395.jpg,https://javct.net/v/pred-362-us,121,2026-03-24
