code,title,image_url,page_url,views,date_scraped
JUR-686,"The Hidden True Nature Of Department Head Nanba, Who Always Belittles Her Subordinates. Revenge Training To Demote The Power-abusing Female Boss To My Personal Masochistic Slave. Nanba Akika",https://pic.javct.net/poster/04112026/1776965948.jpg,https://javct.net/v/jur-686,110,2026-04-24
CJOD-513,"Saturday Morning, I Was Drunk Last Night And Didn't Notice, But My Female Boss Miyu Aizawa, Wearing Sporty Underwear When She Woke Up, Aroused Me And Gave Me A Slutty Load Of Cum Inside Her As Soon As She Woke Up, With My Rock-hard Morning Cock Going Once, Twice, Three Times.",https://pic.javct.net/poster/04112026/1776966471.jpg,https://javct.net/v/cjod-513,120,2026-04-24
HMN-849,"The Strict, Spartan Female Boss At The Company Is Surprisingly A Smiling Soap Girl!! She's Usually Terrifying But Now She's Completely Accepting And Doting On You Like A Baby, Giving You A Wild 20-shot Cumshot Inside Her. Ayatsuki Nanao",https://pic.javct.net/poster/04112026/1776964051.jpg,https://javct.net/v/hmn-849,120,2026-04-24
AEGE-014-RM,Hairy Pleasure - Amaharu Noa Uses Force To Force An Overbearing Female Manager Down And Turn Her Into A Sex Slave [Uncensored L**ked],https://pic.javct.net/poster/20230908/1695268679.jpg,https://javct.net/v/aege-014-rm,147,2026-04-24
FBOS-007-RM,A Stormy Night Alone With Her Female Boss Trapped In The Company Hazuki Wakamiya [Uncensored L**ked],https://pic.javct.net/poster/20230908/1695459644.jpg,https://javct.net/v/fbos-007-rm,120,2026-04-24
HUNTB-658-RM,"""What A Surprise! It's Super Big! ] I Decided To Take A Drunken Open-air Bath With Two Super Strict Busty Female Bosses! Because It's A Bath, Naturally The Big Breasts Are Fully Exposed And Naturally Full Erection [Uncensored L**ked]",https://pic.javct.net/poster/20230908/1695365507.jpg,https://javct.net/v/huntb-658-rm,130,2026-04-24
NACT-115,"Unexpectedly Sharing A Room & Reverse NTR: The Most Beautiful Boss In The Company Is After Me, A Dull Subordinate... Mizuhata Asami",https://pic.javct.net/poster/04112026/1776728385.jpg,https://javct.net/v/nact-115,124,2026-04-24
NACT-115-RM,"Unexpectedly Sharing A Room & Reverse NTR: The Most Beautiful Boss In The Company Is After Me, A Dull Subordinate... Mizuhata Asami [Uncensored L**ked]",https://pic.javct.net/poster/04112026/1776707397.jpg,https://javct.net/v/nact-115-rm,124,2026-04-24
PRED-854-RM,"At A Drinking Party, I Was Secretly Dr**ged With A Massive Erection-inducing Drug And Teased... So I Went On A Rampage!!! I Shoved My Mega Cock Deep Into My Arrogant Female Boss! I Reversed The Tables With A Revenge Piston That Made My Colleagues Run Away! I Finally Calmed Down When I Had Completely Turned Her Into A Slut With An Endless Supply Of Monster Cum... Karen Yuzuriha [Uncensored L**ked]",https://pic.javct.net/poster/04112026/1776356599.jpg,https://javct.net/v/pred-854-rm,140,2026-04-24
MIDA-594-RM,"I Got An Erection From Watching My Female Boss, Whom I Had A Crush On, Having Sex Through The Window Across The Hall, Wiping Her Breasts. I'm Jealous Of NTR. Himari [Uncensored L**ked]",https://pic.javct.net/poster/04112026/1776357811.jpg,https://javct.net/v/mida-594-rm,120,2026-04-24
PRED-854,"At A Drinking Party, I Was Secretly Dr**ged With A Massive Erection-inducing Drug And Teased... So I Went On A Rampage!!! I Shoved My Mega Cock Deep Into My Arrogant Female Boss! I Reversed The Tables With A Revenge Piston That Made My Colleagues Run Away! I Finally Calmed Down When I Had Completely Turned Her Into A Slut With An Endless Supply Of Monster Cum... Karen Yuzuriha",https://pic.javct.net/poster/04112026/1776356599.jpg,https://javct.net/v/pred-854,140,2026-04-24
MIDA-594,"I Got An Erection From Watching My Female Boss, Whom I Had A Crush On, Having Sex Through The Window Across The Hall, Wiping Her Breasts. I'm Jealous Of NTR. Himari",https://pic.javct.net/poster/04112026/1776357811.jpg,https://javct.net/v/mida-594,120,2026-04-24
SPRD-1524-RM,Female President's Libido Saran Ito [Uncensored L**ked],https://pic.javct.net/poster/20221202/1646906563.jpg,https://javct.net/v/sprd-1524-rm,145,2026-04-24
HOMA-105-RM,"I Shared A Room With My Two Female Bosses On Business Trip And They Made Me Piledrive Fuck Them Hard And Fill Them Up With Cum Over And Over Again Until Morning. Reiko Kobayakawa , Yuki Jin [Uncensored L**ked]",https://static.javct.net/poster/homa-105.jpg,https://javct.net/v/homa-105-rm,120,2026-04-24
HMN-686-SUB,"Reversal Of Roles! The Secret Face Of The Weekend. I Made My Boss, Who Is Always Looking Down On Me, Lose Her Reason With Alcohol And Made Her My Sex-crazed Subordinate's Dick And Made Her My Free Creampie Friend. Miyu Aizawa [English Subtitle]",https://pic.javct.net/poster/20250903/1742490012.jpg,https://javct.net/v/hmn-686-sub,130,2026-04-24
NKKD-192-RM,"A Female Boss And An Unequaled Subordinate Ai Mukai Who Have Decided To Stay Locally In A Twin Shared Room As Part Of The Company's Cost Reduction On A One-night, Two-day Local Business Trip To The Kita-Kantou Area [Uncensored L**ked]",https://pic.javct.net/poster/04112026/1776009489.jpg,https://javct.net/v/nkkd-192-rm,120,2026-04-24
CLOT-031-SUB,"The Alluring Black Pantyhose Female Boss, Saryu Usui [English Subtitle]",https://pic.javct.net/poster/20250903/1742404164.jpg,https://javct.net/v/clot-031-sub,133,2026-04-24
RCTD-552-RM,BODY JACK ~ Possession Revisited And The Best ~ [Uncensored L**ked],https://pic.javct.net/poster/20230908/1696832258.jpg,https://javct.net/v/rctd-552-rm,166,2026-04-24
SNOS-195-RM,"""Does This Feel Better Than With Your Wife? But You Can't Cum Yet."" While On A Business Trip With My Beautiful, Controlling Boss, I, A Newlywed, Find Myself In A Situation Where Ejaculation Is 'permission-only'. (Kawagoe Nico) [Uncensored L**ked]",https://pic.javct.net/poster/06032026/1775759406.jpg,https://javct.net/v/snos-195-rm,130,2026-04-24
IPZZ-483-SUB,"I Was Bullied By Everyone At The Command Of My Female Boss, And No Matter What I Did, Even If I Inserted It, They Just Ignored Me. [English Subtitle]",https://pic.javct.net/poster/20250903/1743700462.jpg,https://javct.net/v/ipzz-483-sub,120,2026-04-24
DVAJ-737,"I Used A 'sucker' To Peel Back And Suck On My Spinster Boss's Clitoris, Sucking And Refusing To Let Go. The Sticky Stimulation Kept Her Clitoris Exposed, And I Played With And Kneaded It Until Her Knees Were Shaking And She Was Squirting Like A Slut, Wanting To Cum. - Morisawa Kana",https://pic.javct.net/poster/06032026/1775845146.jpg,https://javct.net/v/dvaj-737,150,2026-04-24
SNOS-195,"""Does This Feel Better Than With Your Wife? But You Can't Cum Yet."" While On A Business Trip With My Beautiful, Controlling Boss, I, A Newlywed, Find Myself In A Situation Where Ejaculation Is 'permission-only'. (Kawagoe Nico)",https://pic.javct.net/poster/06032026/1775759406.jpg,https://javct.net/v/snos-195,130,2026-04-24
NPJS-253-RM,"[NPJ Monitoring] ""Did You Know That Mixed Bathing Is The Best Way To Deepen Bonds?"" Two Friends, A Man And A Woman, Meet On The Street And Decide To Experience Mixed Bathing For The First Time! However, The Only Swimsuits They're Provided With Are Tiny Micro Bikinis! And The Location Is A Jacuzzi! Will Their Friendship Be Preserved Amid The Temptation Of Beautiful Breasts That Inevitably Slip Out? [Uncensored L**ked]",https://pic.javct.net/poster/06032026/1775174160.jpg,https://javct.net/v/npjs-253-rm,170,2026-04-24
HODV-21531-RM,"""We Just Missed The Last Train Home... Do You Want To Cum Over?"" After Missing My Last Train Home, I Ended Up Spending The Night At My Lady Boss' Place, And Since Her Husband Was Away On Business, We Ended Up Committing Adultery, And After She Lured Me To Temptation, She Got Me Hot And Horny And I Fucked Her Until The Break Of Dawn. Aoi Mukai [Uncensored L**ked]",https://pic.javct.net/poster/20221202/1645487404.jpg,https://javct.net/v/hodv-21531-rm,128,2026-04-24
