code,title,image_url,page_url,views,date_scraped
FEM-025,Anal Crazy Story Oryo,https://pic.javct.net/poster/04112026/e3e39915f2.jpg,https://javct.net/v/fem-025,121,2026-04-27
DASS-949-RM,"Top-ranked Creator In The ""Crossdresser/NH"" Category On A Creator Support Site. Exclusive To Dengeki. Natural Beauty Trans Woman, Momiji Hiiragi. [Uncensored L**ked]",https://pic.javct.net/poster/04112026/1776971891.jpg,https://javct.net/v/dass-949-rm,150,2026-04-27
ARAN-108,"Bondage Female Orgasm Hell -GekiYABA- I Was Given An Aphrodisiac And Tied Up, And I Became So Sensitive I Was About To Go Insane... Oryo",https://pic.javct.net/poster/04112026/904d888755.jpg,https://javct.net/v/aran-108,130,2026-04-27
TCD-326,My Face Is Ruined By My Beloved Irama! Transgender Idol Oryo Rolls Her Eyes Back At The Sight Of A Huge Cock.,https://pic.javct.net/poster/04112026/48520e822a.jpg,https://javct.net/v/tcd-326,157,2026-04-27
TIMD-032,"Aki-kun, A Boyish Yet Feminine, Incredibly Beautiful Boy.",https://pic.javct.net/poster/04112026/b0e265ac45.jpg,https://javct.net/v/timd-032,127,2026-04-27
PETS-065,First-time Shoot: Handsome Former Stage Actor Secretly Appears In Drag. The Handsome Straight Guy's Hidden Fetish Was Cross-dressing...,https://pic.javct.net/poster/04112026/1777047771.jpg,https://javct.net/v/pets-065,106,2026-04-27
JMTY-080-RM,"[Youth x Transsexual x Drama] Back then, when we graduated from virginity, we passionately fell into each other's holes. ""My first kiss, my first experience of squirting, my first anal sex, and reverse anal are all great memories."" Chrollo Tsukino [Uncensored L**ked]",https://pic.javct.net/poster/04112026/1776793504209.jpg,https://javct.net/v/jmty-080-rm,118,2026-04-27
YAKO-087-RM,"The Cutest Crossdresser Ever: Hime (20 Years Old), A Shy And Masochistic Cosplayer [Uncensored L**ked]",https://pic.javct.net/poster/04112026/1776791498.jpg,https://javct.net/v/yako-087-rm,123,2026-04-27
DASS-949,"Top-ranked Creator In The ""Crossdresser/NH"" Category On A Creator Support Site. Exclusive To Dengeki. Natural Beauty Trans Woman, Momiji Hiiragi.",https://pic.javct.net/poster/04112026/1776971891.jpg,https://javct.net/v/dass-949,150,2026-04-27
NVH-077-RM,Bound And Imprinted With The Pleasure Of Female Orgasm! Beautiful Madness! Transgender Reverse Anal Sex Saotome Chika [Uncensored L**ked],https://pic.javct.net/poster/04112026/1776445825.jpg,https://javct.net/v/nvh-077-rm,175,2026-04-27
