code,title,size,image_url,torrent_url,tags,actresses,date,page_url
JJDA078,息子の担任女教師と… 背徳の家庭訪問保護者情交,3.2 GB,https://pics.dmm.co.jp/mono/movie/adult/jjda078/jjda078pl.jpg,https://onejav.com/torrent/jjda078/download/34077915/onejav.com_jjda078.torrent,"Creampie, Cuckold, Married Woman, Shame, Slender, Solowork",Asami Nagase,2026-08-29,https://onejav.com/torrent/jjda078
LULU452,押しに弱いパートの天然巨乳輪シンママの無自覚おっぱい挑発に辛抱堪らずねちねちセクハラ乳首開発でチクイキさせまくっていいなりザコ乳首化させた。 長瀬麻美,6.0 GB,https://pics.dmm.co.jp/mono/movie/adult/lulu452/lulu452pl.jpg,https://onejav.com/torrent/lulu452/download/95049704/onejav.com_lulu452.torrent,"Breasts, Creampie, Huge Cock, Married Woman, Solowork",Asami Nagase,2026-08-29,https://onejav.com/torrent/lulu452
NGOD348,精力旺盛絶倫祖父とおしとやかな嫁 祖父のアレが立派すぎて病みつきに…。やめられない禁断の二人暮らし,7.5 GB,https://pics.dmm.co.jp/mono/movie/adult/ngod348/ngod348pl.jpg,https://onejav.com/torrent/ngod348/download/64463088/onejav.com_ngod348.torrent,"Big Tits, Creampie, Cuckold, Huge Cock, Married Woman, Solowork",Asami Nagase,2026-07-10,https://onejav.com/torrent/ngod348
NGOD301,人妻女教師～背徳の放課後巨根～保護者様のデカチンに「ダメ」とわかっているのにイカされて… 長瀬麻美,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/ngod301/ngod301pl.jpg,https://onejav.com/torrent/ngod301/download/84463947/onejav.com_ngod301.torrent,"3P, 4P, Big Tits, Cuckold, Huge Cock, Married Woman, Solowork",Asami Nagase,2025-11-07,https://onejav.com/torrent/ngod301
FJIN106,息子ほど年の離れたバイト先の男子学生達と一泊二日の温泉旅行に来た美熟女パート主婦は優しくて欲求不満で…俺たちみんな36歳パート主婦まみさんのガチ恋勢 長瀬麻美,7.1 GB,https://pics.dmm.co.jp/mono/movie/adult/fjin106/fjin106pl.jpg,https://onejav.com/torrent/fjin106/download/01910982/onejav.com_fjin106.torrent,"Creampie, Married Woman, Nasty, Hardcore, Orgy, Solowork, Squirting",Asami Nagase,2025-11-01,https://onejav.com/torrent/fjin106
ATYA029,セックスレス妻カラダだけの不倫で快楽堕ち完熟Gカップ奥さん絶倫おじにぶっ刺されて連続昇天 長瀬麻美,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/atya029/atya029pl.jpg,https://onejav.com/torrent/atya029/download/29950581/onejav.com_atya029.torrent,"3P, 4P, Big Tits, Married Woman, Mature Woman, Solowork",Asami Nagase,2025-10-18,https://onejav.com/torrent/atya029
NGOD283,空き家再生中の実家で嫁さんが田舎のカリ太ギンギンデカマラ男にねとられました… 長瀬麻美,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/ngod283/ngod283pl.jpg,https://onejav.com/torrent/ngod283/download/53324993/onejav.com_ngod283.torrent,"Affair, Big Tits, BIGセール, Cuckold, Huge Cock, Married Woman, Solowork",Asami Nagase,2025-08-08,https://onejav.com/torrent/ngod283
HODV21987,ちんしゃぶ彼女紹介します。 長瀬麻美,6.5 GB,https://pics.dmm.co.jp/mono/movie/adult/41hodv21987/41hodv21987pl.jpg,https://onejav.com/torrent/hodv21987/download/77923296/onejav.com_hodv21987.torrent,"Big Tits, Cowgirl, Creampie, POV, Slut, Solowork",Asami Nagase,2025-07-25,https://onejav.com/torrent/hodv21987
NSFS373,夫は知らない衝撃の秘め事・・「義兄」「義父」と乱交していた嫁 その後・・ ～これで、私は子どもができました～ 長瀬麻美,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/nsfs373/nsfs373pl.jpg,https://onejav.com/torrent/nsfs373/download/90285951/onejav.com_nsfs373.torrent,"Affair, Drama, Married Woman, Orgy, Solowork",Asami Nagase,2025-04-05,https://onejav.com/torrent/nsfs373
ADN621,ライブチャットの人妻 長瀬麻美,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/adn621/adn621pl.jpg,https://onejav.com/torrent/adn621/download/53312728/onejav.com_adn621.torrent,"Affair, Cuckold, Drama, Humiliation, Married Woman, Solowork",Asami Nagase,2025-01-03,https://onejav.com/torrent/adn621
