code,title,size,image_url,torrent_url,tags,actresses,date,page_url
ABF331,平日女教師、週末オナホ。 河合あすな【限定特典映像15分付き】,5.5 GB,https://image.mgstage.com/images/prestige/abf/331/pb_e_abf-331.jpg,https://onejav.com/torrent/abf331/download/45032966/onejav.com_abf331.torrent,"Big Tits, Cosplay, Creampie, Female Teacher, Solowork, Titty Fuck",Asuna Kawai,2026-03-19,https://onejav.com/torrent/abf331
ABF321,クレーム謝罪ハラスメント 河合あすな【限定特典映像30分付き】,6.4 GB,https://image.mgstage.com/images/prestige/abf/321/pb_e_abf-321.jpg,https://onejav.com/torrent/abf321/download/57825286/onejav.com_abf321.torrent,"Big Tits, Facials, OL, Solowork, Titty Fuck",Asuna Kawai,2026-02-19,https://onejav.com/torrent/abf321
ABF310,憧れの女上司と急遽、出張が決まり僕のミスでまさかの相部屋に… 河合あすな【限定特典映像40分付き】,5.4 GB,https://image.mgstage.com/images/prestige/abf/310/pb_e_abf-310.jpg,https://onejav.com/torrent/abf310/download/80543618/onejav.com_abf310.torrent,"Big Tits, Facials, OL, Slut, Solowork",Asuna Kawai,2026-01-15,https://onejav.com/torrent/abf310
ABF299,絶対的不倫シチュエーション 河合あすな【限定特典映像30分付き】,5.7 GB,https://image.mgstage.com/images/prestige/abf/299/pb_e_abf-299.jpg,https://onejav.com/torrent/abf299/download/66670959/onejav.com_abf299.torrent,"Affair, Big Tits, Cosplay, Facials, Slut, Solowork",Asuna Kawai,2025-12-18,https://onejav.com/torrent/abf299
REBD984,Asuna8 Secret Lounge・河合あすな,3.0 GB,https://pics.dmm.co.jp/mono/movie/adult/h_346rebd984/h_346rebd984pl.jpg,https://onejav.com/torrent/rebd984/download/23971613/onejav.com_rebd984.torrent,"AV女優, Big Tits, Image Video, Sexy, Solowork",Asuna Kawai,2025-11-20,https://onejav.com/torrent/rebd984
ABF288,理不尽インモラルNTR 河合あすな【限定特典映像30分付き】,5.2 GB,https://image.mgstage.com/images/prestige/abf/288/pb_e_abf-288.jpg,https://onejav.com/torrent/abf288/download/22317765/onejav.com_abf288.torrent,"Big Tits, Cosplay, Facials, Solowork",Asuna Kawai,2025-11-20,https://onejav.com/torrent/abf288
ABF278,絶対忠実秘書 河合あすな【限定特典映像20分付き】,5.7 GB,https://image.mgstage.com/images/prestige/abf/278/pb_e_abf-278.jpg,https://onejav.com/torrent/abf278/download/62068031/onejav.com_abf278.torrent,"Big Tits, Cosplay, Creampie, Solowork, Titty Fuck",Asuna Kawai,2025-10-16,https://onejav.com/torrent/abf278
ABF268,密着カノジョ ひたすらボクにくっ付いて求めてくるイチャらぶぴったりSEX 河合あすな【限定特典映像25分付き】,5.4 GB,https://image.mgstage.com/images/prestige/abf/268/pb_e_abf-268.jpg,https://onejav.com/torrent/abf268/download/58183021/onejav.com_abf268.torrent,"Big Tits, Cosplay, Facials, Solowork, Titty Fuck",Asuna Kawai,2025-09-18,https://onejav.com/torrent/abf268
REBD884,Asuna7 夏の日のプールサイド・河合あすな,2.9 GB,https://pics.dmm.co.jp/mono/movie/adult/h_346rebd884/h_346rebd884pl.jpg,https://onejav.com/torrent/rebd884/download/82390893/onejav.com_rebd884.torrent,"AV女優, Big Tits, Image Video, Sexy, Solowork",Asuna Kawai,2024-11-07,https://onejav.com/torrent/rebd884
ABF119,高飛車OL「M性」開花 河合あすな,4.9 GB,https://image.mgstage.com/images/prestige/abf/119/pb_e_abf-119.jpg,https://onejav.com/torrent/abf119/download/42986494/onejav.com_abf119.torrent,"Big Tits, Cosplay, Facials, OL, Solowork, Titty Fuck",Asuna Kawai,2024-06-20,https://onejav.com/torrent/abf119
