code,title,size,image_url,torrent_url,tags,actresses,date,page_url
700VOBB059,乱交界隈シリーズ5タイトル全収録4時間ベスト！ 椿りか 友田彩也香 水川潤 有加里ののか 幾野まち,10.3 GB,https://image.mgstage.com/images/botan/700vobb/059/pb_e_700vobb-059.jpg,https://onejav.com/torrent/700vobb059/download/27876630/onejav.com_700vobb059.torrent,"4HR+, Amateur, Beautiful Girl, Best, Omnibus, Documentary, Orgy, POV, Slut","椿りか, Ayaka Tomoda, 水川潤, 有加里ののか, 幾野まち, 若月もあ, 佐藤愛瑠, 皆月ひかる, 由良かな, 相坂すみれ, 天宮小春, 天羽りりか, 小野寺舞, Waka Ninomiya, 真白ふわり, 天宮かすみ",2026-09-04,https://onejav.com/torrent/700vobb059
RCTD756,ROCKET18周年記念ユーザーリクエスト祭り 腰フリ星人がやってきた！～みんな腰フリ人間化計画～,4.4 GB,https://pics.dmm.co.jp/mono/movie/adult/1rctd756/1rctd756pl.jpg,https://onejav.com/torrent/rctd756/download/19850581/onejav.com_rctd756.torrent,"Cowgirl, Huge Butt, Lingerie, Planning, Shame","Ayaka Tomoda, 一ノ瀬はずき, 愛那あい, 久和原せいら",2026-08-22,https://onejav.com/torrent/rctd756
NSFS497,寝取られの館17 ～ダッチワイフにされた妻～ 友田彩也香,3.4 GB,https://pics.dmm.co.jp/mono/movie/adult/nsfs497/nsfs497pl.jpg,https://onejav.com/torrent/nsfs497/download/78116639/onejav.com_nsfs497.torrent,"3P, 4P, Cuckold, Drama, Married Woman, Solowork",Ayaka Tomoda,2026-07-25,https://onejav.com/torrent/nsfs497
MXGS1433,感度倍増！意識がぶっ飛ぶほどイカされまくる最高潮FUCK 友田彩也香,4.8 GB,https://pics.dmm.co.jp/mono/movie/adult/h_068mxgs1433/h_068mxgs1433pl.jpg,https://onejav.com/torrent/mxgs1433/download/00393095/onejav.com_mxgs1433.torrent,Solowork,Ayaka Tomoda,2026-06-16,https://onejav.com/torrent/mxgs1433
ATYA043,ドエロ妻、本能に従い浮気する肉食すぎて旦那さんだけでは無理…変態絶倫おじたちと濃厚交尾 友田彩也香,5.7 GB,https://pics.dmm.co.jp/mono/movie/adult/atya043/atya043pl.jpg,https://onejav.com/torrent/atya043/download/98756971/onejav.com_atya043.torrent,"3P, 4P, Married Woman, Mature Woman, Slender, Solowork",Ayaka Tomoda,2026-06-13,https://onejav.com/torrent/atya043
XVSR878,超濃交 終わらない中出し搾取乱交SEX 友田彩也香 天馬ゆい 似鳥日菜,4.1 GB,https://pics.dmm.co.jp/mono/movie/adult/xvsr878/xvsr878pl.jpg,https://onejav.com/torrent/xvsr878/download/09855064/onejav.com_xvsr878.torrent,"3P, 4P, Big Tits, Creampie, Kiss, Slender","Ayaka Tomoda, 天馬ゆい, 似鳥日菜",2026-05-30,https://onejav.com/torrent/xvsr878
NSFS480,新・償い23 ～許されるため妻は身体を差し出した～ 友田彩也香,3.6 GB,https://pics.dmm.co.jp/mono/movie/adult/nsfs480/nsfs480pl.jpg,https://onejav.com/torrent/nsfs480/download/03048255/onejav.com_nsfs480.torrent,"Affair, Drama, Married Woman, Mature Woman, Solowork",Ayaka Tomoda,2026-05-23,https://onejav.com/torrent/nsfs480
MGMJ084,友田さんのパンスト脚がエロ過ぎて脳みそがとろけそう 友田彩也香,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/mgmj084/mgmj084pl.jpg,https://onejav.com/torrent/mgmj084/download/24871519/onejav.com_mgmj084.torrent,"Blow, Footjob, Leg Fetish, Pantyhose, Slut, Solowork",Ayaka Tomoda,2026-05-16,https://onejav.com/torrent/mgmj084
RCTD726,究極の妄想お仕事シリーズ ディープキス歯科クリニック8 友田彩也香,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/1rctd726/1rctd726pl.jpg,https://onejav.com/torrent/rctd726/download/53664801/onejav.com_rctd726.torrent,"Hospital, Clinic, Kiss, Other Fetish, Slut, Solowork, Various Professions",Ayaka Tomoda,2026-03-28,https://onejav.com/torrent/rctd726
MXGS1411,夫を裏切った代償-元上司の手に堕ちていく人妻- 友田彩也香,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/h_068mxgs1411/h_068mxgs1411pl.jpg,https://onejav.com/torrent/mxgs1411/download/78284857/onejav.com_mxgs1411.torrent,"Married Woman, Solowork",Ayaka Tomoda,2025-12-16,https://onejav.com/torrent/mxgs1411
