code,title,size,image_url,torrent_url,tags,actresses,date,page_url
MISM433,未知数の咽頭天井。逃げても逃げても絶対止めない拷問喉奥鍛錬会:改 二葉エマ,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/mism433/mism433pl.jpg,https://onejav.com/torrent/mism433/download/08756662/onejav.com_mism433.torrent,"Beautiful Girl, Deep Throating, M女, Nasty, Hardcore, SM, Solowork",Ema Futaba,2026-04-24,https://onejav.com/torrent/mism433
MISM435,黒人イラマ解禁 暴れ狂う世界の巨根を喉奥にぶち込む粉砕玉砕ノドイキFestival 二葉エマ,4.5 GB,https://pics.dmm.co.jp/mono/movie/adult/mism435/mism435pl.jpg,https://onejav.com/torrent/mism435/download/83900317/onejav.com_mism435.torrent,"Beautiful Girl, Black Actor, Deep Throating, Huge Cock, Nasty, Hardcore, Solowork",Ema Futaba,2026-03-20,https://onejav.com/torrent/mism435
MKON129,デリヘル呼んだら昔僕をイジメてた同級生が来たので、ポリネシアンセックスで仲直りすることにした 二葉エマ,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/mkon129/mkon129pl.jpg,https://onejav.com/torrent/mkon129/download/31746685/onejav.com_mkon129.torrent,"Beautiful Girl, Bitch, Creampie, Other Fetish, Solowork",Ema Futaba,2026-03-14,https://onejav.com/torrent/mkon129
EMLB086,逆流ゲボ絶頂BEST 真正なる極限イラマで嘔吐洪水ドばぁあ゛！吐いて飲んで鍛え上げた強烈喉奥でイ゛グッ！ガチ吐瀉物Specialノドイキ女たちの240分,10.1 GB,https://pics.dmm.co.jp/mono/movie/adult/emlb086/emlb086pl.jpg,https://onejav.com/torrent/emlb086/download/91242426/onejav.com_emlb086.torrent,"4HR+, Best, Omnibus, Deep Throating, M女, Nasty, Hardcore, SM","Ema Futaba, 大沢佑香",2026-02-28,https://onejav.com/torrent/emlb086
MISM430,ガチおしっこ24人 合計12452ml 笑顔でごくごくご褒美喉奥飲尿娘 二葉エマ,4.9 GB,https://pics.dmm.co.jp/mono/movie/adult/mism430/mism430pl.jpg,https://onejav.com/torrent/mism430/download/23548331/onejav.com_mism430.torrent,"Beautiful Girl, Deep Throating, M女, Piss Drinking, Solowork, Urination",Ema Futaba,2026-02-20,https://onejav.com/torrent/mism430
REAL971,OD（オーバードーズ） ト○横キメセク人形凌● 犠牲者3名,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/real971/real971pl.jpg,https://onejav.com/torrent/real971/download/13652531/onejav.com_real971.torrent,"Beautiful Girl, Creampie, Drug, Evil, Humiliation","松井日奈子, Ema Futaba, 由良かな",2026-02-07,https://onejav.com/torrent/real971
MIAB574,メスイキ専門に魔改造された凸凹口枷サンドイッチで何度も何度も竿＆アナルで射精させられるボク…2 花狩まい 二葉エマ,7.8 GB,https://pics.dmm.co.jp/mono/movie/adult/miab574/miab574pl.jpg,https://onejav.com/torrent/miab574/download/84032135/onejav.com_miab574.torrent,"Acme · Orgasm, Anal, Creampie, Nasty, Hardcore, Slut","Mai Hanakari, Ema Futaba",2026-01-16,https://onejav.com/torrent/miab574
IDBD995,スペ値（身長-体重）110以上のスレンダー美女のポルチオまでねじ込み細腰砕けるほどのデカマラ鬼突き激アクメ 97SEX,18.9 GB,https://pics.dmm.co.jp/mono/movie/adult/idbd995/idbd995pl.jpg,https://onejav.com/torrent/idbd995/download/64029520/onejav.com_idbd995.torrent,"4HR+, Acme · Orgasm, Beautiful Girl, Nasty, Hardcore, Slender, Squirting","愛才りあ, 佐々木さき, Momo Sakura, Karen Kaede, RARA, Minami Aizawa, Iyona Fujii, 日向由奈, Ruisa Totsuki, Ema Futaba, ▼すべて表示する",2026-01-04,https://onejav.com/torrent/idbd995
LULU417,再婚して一緒に暮らし始めた嫁のデカ尻連れ子がどストライク過ぎて毎日精子を飲ませ続けたら三度の飯よりごっくん大好きな喉イキおしゃぶり大好きビッチJ系娘になっちゃいました。 二葉エマ,6.7 GB,https://pics.dmm.co.jp/mono/movie/adult/lulu417/lulu417pl.jpg,https://onejav.com/torrent/lulu417/download/19237990/onejav.com_lulu417.torrent,"Blow, Creampie, Huge Cock, School Girls, Solowork",Ema Futaba,2026-01-01,https://onejav.com/torrent/lulu417
MANX022,絶叫部屋 壊れるまでイカサレまくる監禁強●絶頂 二葉エマ,4.5 GB,https://pics.dmm.co.jp/mono/movie/adult/manx022/manx022pl.jpg,https://onejav.com/torrent/manx022/download/04220214/onejav.com_manx022.torrent,"Acme · Orgasm, Big Tits, Creampie, Nasty, Hardcore, Restraint, Solowork",Ema Futaba,2025-12-12,https://onejav.com/torrent/manx022
