code,title,size,image_url,torrent_url,tags,actresses,date,page_url
JUR681,清掃員NTR ～僕とは馬力が違うと豪語する、体育会系のクソ男にハメられて無尽蔵のハードFUCKで寝取られた妻～ 水戸かな,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jur681/jur681pl.jpg,https://onejav.com/torrent/jur681/download/49060327/onejav.com_jur681.torrent,"Cuckold, Married Woman, Mature Woman, Shame, Solowork, Various Professions",Kana Mito,2026-04-29,https://onejav.com/torrent/jur681
JUR639,麗しきランジェリー、唾液と精液で汚れた酬いの人妻保険外交員 水戸かな,7.8 GB,https://pics.dmm.co.jp/mono/movie/adult/jur639/jur639pl.jpg,https://onejav.com/torrent/jur639/download/20385908/onejav.com_jur639.torrent,"Creampie, Kiss, Lingerie, Married Woman, Mature Woman, Solowork",Kana Mito,2026-03-20,https://onejav.com/torrent/jur639
JUR620,「アンタの奥さん、最高だったよ」 3ヶ月で辞めた新入社員の退職届に書かれた想定外のNTR話 水戸かな,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jur620/jur620pl.jpg,https://onejav.com/torrent/jur620/download/61197871/onejav.com_jur620.torrent,"Creampie, Cuckold, Married Woman, Mature Woman, OL, Solowork",Kana Mito,2026-02-20,https://onejav.com/torrent/jur620
URE130,FANZA同人サイトで12万DL越え！！ 原作:mamaya バ先のパート主婦（41）を家に連れ込んだら10年ぶりの汗だく本気セックスで巨乳首ビン勃ち放尿アクメした話 欲求不満な人妻を快楽堕ち！！流され絶頂FUCK！！ 水戸かな,6.4 GB,https://pics.dmm.co.jp/mono/movie/adult/ure130/ure130pl.jpg,https://onejav.com/torrent/ure130/download/10948717/onejav.com_ure130.torrent,"Acme · Orgasm, Married Woman, Mature Woman, Original Collaboration, Solowork, Urination",Kana Mito,2026-01-23,https://onejav.com/torrent/ure130
JUR556,姑の陰湿な嫁いびりの果て―新しく出来た母・かなさんは僕の眼前にて輪●されました。,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/jur556/jur556pl.jpg,https://onejav.com/torrent/jur556/download/38264927/onejav.com_jur556.torrent,"3P, 4P, Creampie, Humiliation, Married Woman, Mature Woman","Kana Mito, 葵百合香",2025-12-19,https://onejav.com/torrent/jur556
JUR512,女教師NTR 不良生徒に最愛の妻を寝取られてー。 水戸かな,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/jur512/jur512pl.jpg,https://onejav.com/torrent/jur512/download/93455190/onejav.com_jur512.torrent,"Breasts, Cuckold, Female Teacher, Married Woman, Mature Woman, Solowork",Kana Mito,2025-11-21,https://onejav.com/torrent/jur512
JUR470,女上司、出張先で恥辱に揺れる中出し電車痴● 水戸かな,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jur470/jur470pl.jpg,https://onejav.com/torrent/jur470/download/56212266/onejav.com_jur470.torrent,"Creampie, Female Boss, Married Woman, Mature Woman, Shame, Solowork",Kana Mito,2025-10-24,https://onejav.com/torrent/jur470
JUR426,「義母さん、子供が欲しいんでしょ？」 淡白な夫の単身赴任中、私は性欲旺盛な連れ子の雄一君に種付け中出しされ続けました…。 水戸かな,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jur426/jur426pl.jpg,https://onejav.com/torrent/jur426/download/17955047/onejav.com_jur426.torrent,"Humiliation, Married Woman, Mature Woman, Slender, Solowork, Stepmother",Kana Mito,2025-09-19,https://onejav.com/torrent/jur426
JUR398,『週3日、妻とSEXをしている。』と自慢してきた友人から週5日、毎回4発、合計20発中出ししてそいつの妻を寝取ってやった。 水戸かな,6.7 GB,https://pics.dmm.co.jp/mono/movie/adult/jur398/jur398pl.jpg,https://onejav.com/torrent/jur398/download/39702085/onejav.com_jur398.torrent,"Affair, Creampie, Cuckold, Married Woman, Mature Woman, Solowork",Kana Mito,2025-08-22,https://onejav.com/torrent/jur398
JUR239,指輪を外している時は独身と嘘をつき不倫をしています。 親愛なる旦那様へ、ごめんなさい。 水戸かな,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jur239/jur239pl.jpg,https://onejav.com/torrent/jur239/download/03059053/onejav.com_jur239.torrent,"Affair, Breasts, Creampie, Married Woman, Mature Woman, Solowork",Kana Mito,2025-04-23,https://onejav.com/torrent/jur239
