code,title,size,image_url,torrent_url,tags,actresses,date,page_url
REBD1022,Karen5 キミとの甘い夏休み・楪カレン,3.0 GB,https://pics.dmm.co.jp/mono/movie/adult/h_346rebd1022/h_346rebd1022pl.jpg,https://onejav.com/torrent/rebd1022/download/66275005/onejav.com_rebd1022.torrent,"AV女優, Big Tits, Image Video, Petite, Sexy, Solowork",Karen Yuzuriha,2026-04-02,https://onejav.com/torrent/rebd1022
PPPE405,おっぱい密着でシコペロ千客万来手コキシャンエステ 楪カレン,6.5 GB,https://pics.dmm.co.jp/mono/movie/adult/pppe405/pppe405pl.jpg,https://onejav.com/torrent/pppe405/download/26386956/onejav.com_pppe405.torrent,"Big Tits, Creampie, Handjob, Lotion, Slender, Solowork",Karen Yuzuriha,2026-03-13,https://onejav.com/torrent/pppe405
PRED850,アナタのために若妻OL（ワタシ）は極悪企業で中出し全裸勤務をしています。 楪カレン,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/pred850/pred850pl.jpg,https://onejav.com/torrent/pred850/download/21711298/onejav.com_pred850.torrent,"3P, 4P, Big Tits, Creampie, Humiliation, OL, Solowork",Karen Yuzuriha,2026-03-13,https://onejav.com/torrent/pred850
PPPE401,‘妹は兄のモノ’という田舎の因習で、俺専用の射精係になった巨乳義妹へ毎日10発中出しする夏休み 楪カレン,6.5 GB,https://pics.dmm.co.jp/mono/movie/adult/pppe401/pppe401pl.jpg,https://onejav.com/torrent/pppe401/download/31925264/onejav.com_pppe401.torrent,"Beautiful Girl, Big Tits, Creampie, Sister, Slender, Solowork",Karen Yuzuriha,2026-02-13,https://onejav.com/torrent/pppe401
PRED843,出張先の朝、隣には裸の後輩がいる 普段はツンケンして生意気なのにやたらとデレデレ甘えてくる…どうやら僕らは、セックスをしてしまったようだ…汗 チ○ポの相性が良過ぎて、妻の連絡を無視して、延泊不倫中出し記録。 楪カレン,5.3 GB,https://pics.dmm.co.jp/mono/movie/adult/pred843/pred843pl.jpg,https://onejav.com/torrent/pred843/download/19887940/onejav.com_pred843.torrent,"Affair, Big Tits, Creampie, Hotel, OL, Solowork",Karen Yuzuriha,2026-02-13,https://onejav.com/torrent/pred843
PPPE392,「あいつが母と結婚した理由は私でした」 妻が帰省した一週間早熟な巨乳連れ子を絶倫チ○ポでピストン調教 楪カレン,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/pppe392/pppe392pl.jpg,https://onejav.com/torrent/pppe392/download/30013936/onejav.com_pppe392.torrent,"Acme · Orgasm, Big Tits, Creampie, Humiliation, Slender, Solowork",Karen Yuzuriha,2026-01-16,https://onejav.com/torrent/pppe392
PRED829,受験失敗した教え子に10秒だけ挿入を許したら…相性良すぎてうまのり騎乗位で跨り狂うようになってしまった家庭教師 楪カレン,5.2 GB,https://pics.dmm.co.jp/mono/movie/adult/pred829/pred829pl.jpg,https://onejav.com/torrent/pred829/download/17570850/onejav.com_pred829.torrent,"Big Tits, Cowgirl, Creampie, Cuckold, Solowork, Tutor",Karen Yuzuriha,2026-01-16,https://onejav.com/torrent/pred829
PPPE383,一ヶ月禁欲して排卵日当日！欲求不満度と感度と危険度がクライマックスの状態で全員中出しのデンジャラス大乱交 楪カレン,6.9 GB,https://pics.dmm.co.jp/mono/movie/adult/pppe383/pppe383pl.jpg,https://onejav.com/torrent/pppe383/download/68890082/onejav.com_pppe383.torrent,"Acme · Orgasm, Beautiful Girl, Big Tits, Creampie, Orgy, Solowork",Karen Yuzuriha,2025-12-12,https://onejav.com/torrent/pppe383
PRED825,地雷系アヘ顔アクメ 家無し女子をヤリ部屋連れ込みヤリチン中出し24発ローテ朝まで廻す 楪カレン,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/pred825/pred825pl.jpg,https://onejav.com/torrent/pred825/download/13453608/onejav.com_pred825.torrent,"3P, 4P, Acme · Orgasm, Big Tits, Creampie, Rolling Back Eyes, Fainting, Solowork",Karen Yuzuriha,2025-12-12,https://onejav.com/torrent/pred825
REBD989,Karen4 Mystic Spiral・楪カレン,3.2 GB,https://pics.dmm.co.jp/mono/movie/adult/h_346rebd989/h_346rebd989pl.jpg,https://onejav.com/torrent/rebd989/download/10399291/onejav.com_rebd989.torrent,"AV女優, Big Tits, Image Video, Petite, Sexy, Solowork",Karen Yuzuriha,2025-12-04,https://onejav.com/torrent/rebd989
