code,title,size,image_url,torrent_url,tags,actresses,date,page_url
GNS147,秘蔵映像流出 拘束寸止め焦らし羞恥で頭が真っ白になるくらいアへりイキ漏らす美人妻たち4名,9.1 GB,https://pics.dmm.co.jp/mono/movie/adult/h_1596gns147/h_1596gns147pl.jpg,https://onejav.com/torrent/gns147/download/62246395/onejav.com_gns147.torrent,"BIGセール, Close Up, Humiliation, Married Woman, Shame, Urination","Kyouka Tachibana, 足立友梨, 小坂ひまり, 滝川すみれ",2026-03-25,https://onejav.com/torrent/gns147
DVMM370,禁断のレズ一家 ～私たちはお母様の愛玩姉妹～ 麗しき母親と姉妹の耽美な蜜の罠に堕ちていく女学生,5.4 GB,https://pics.dmm.co.jp/mono/movie/adult/dvmm370/dvmm370pl.jpg,https://onejav.com/torrent/dvmm370/download/93589566/onejav.com_dvmm370.torrent,"3P, 4P, Beautiful Girl, Lesbian Kiss, Orgy","Kyouka Tachibana, 小日向める, 平山羽那, 堺もか",2026-03-13,https://onejav.com/torrent/dvmm370
NSFS433,新・償い19 許してもらうために身も心も捧げた妻 橘京花,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/nsfs433/nsfs433pl.jpg,https://onejav.com/torrent/nsfs433/download/89066651/onejav.com_nsfs433.torrent,"Affair, Breasts, Drama, Married Woman, Solowork",Kyouka Tachibana,2025-11-22,https://onejav.com/torrent/nsfs433
UMD978,産婦人科痴●！！28何も知らない若妻に治療と称して中出しまでっ！！,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/125umd978/125umd978pl.jpg,https://onejav.com/torrent/umd978/download/99210972/onejav.com_umd978.torrent,"BIGセール, Bride, Young Wife, Creampie","Asami Mizuhashi, Kyouka Tachibana, 七原さゆ",2025-10-08,https://onejav.com/torrent/umd978
DMOW222,罵倒痴女のセンズリ射精管理,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/h_139dmow222/h_139dmow222pl.jpg,https://onejav.com/torrent/dmow222/download/22587821/onejav.com_dmow222.torrent,"Cowgirl, Dirty Words, Leg Fetish, M男, Older Sister, Other Fetish, School Uniform, Slut, Urination","Kyouka Tachibana, 松井日奈子, 八森わか菜, 九井スナオ, 菊池はる, 花衣つばき",2025-09-02,https://onejav.com/torrent/dmow222
DNJR146,女教師ハーレムオナサポ学園 女教師による正しい射精レッスン センズリから中出しセックスまで,5.7 GB,https://pics.dmm.co.jp/mono/movie/adult/dnjr146/dnjr146pl.jpg,https://onejav.com/torrent/dnjr146/download/42212550/onejav.com_dnjr146.torrent,"3P, 4P, Female Teacher, Harem, M男, Slut","Kyouka Tachibana, 八森わか菜, 九井スナオ, 湊波流, 花衣つばき",2025-08-30,https://onejav.com/torrent/dnjr146
GVH761,「フェ、フェラチオはやめてくれえぇ～！！」本物の捜査官に誤認逮捕され、拘束くすぐり＆フェラチオで尋問射精しまくったフリー記者の僕。 橘京花,6.6 GB,https://pics.dmm.co.jp/mono/movie/adult/gvh761/gvh761pl.jpg,https://onejav.com/torrent/gvh761/download/56235455/onejav.com_gvh761.torrent,"Blow, Cowgirl, Cuckold, Female Boss, Female Investigator, Solowork",Kyouka Tachibana,2025-07-19,https://onejav.com/torrent/gvh761
AARM303,スカートもぐりMANIAX エレガントな淑女のロングスカートの中身を隅々まで観察！,5.3 GB,https://pics.dmm.co.jp/mono/movie/adult/aarm303/aarm303pl.jpg,https://onejav.com/torrent/aarm303/download/31980292/onejav.com_aarm303.torrent,"Close Up, Erotic Wear, Masturbation, Other Fetish, Skirt","岬さくら, 及川うみ, Kyouka Tachibana, 水瀬さな, 美丘さとみ",2025-07-03,https://onejav.com/torrent/aarm303
AARM299,80分間ずーっと尻枕でベロチュー乳首弄りされながら騎乗位でち〇ぽ貪られ続ける4Pハーレム性感,3.3 GB,https://pics.dmm.co.jp/mono/movie/adult/aarm299/aarm299pl.jpg,https://onejav.com/torrent/aarm299/download/75722763/onejav.com_aarm299.torrent,"Butt, Cowgirl, Harem, Kiss, Slut","岬さくら, 及川うみ, Kyouka Tachibana",2025-06-19,https://onejav.com/torrent/aarm299
NEO832,唾とオシッコで溺死したい 橘京花,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/433neo832/433neo832pl.jpg,https://onejav.com/torrent/neo832/download/52014144/onejav.com_neo832.torrent,"Older Sister, Slut, Solowork, Squirting, Vibe",Kyouka Tachibana,2025-05-22,https://onejav.com/torrent/neo832
