code,title,size,image_url,torrent_url,tags,actresses,date,page_url
ACHJ081,超’攻撃的’痴女×完全主観×バイノーラル 専属イイオンナが見下し主観で極限まで淫語責めする M男専用・絶頂支配オナニーコントロールJOI 白石茉莉奈,9.2 GB,https://pics.dmm.co.jp/mono/movie/adult/achj081/achj081pl.jpg,https://onejav.com/torrent/achj081/download/18835825/onejav.com_achj081.torrent,"Dirty Words, Married Woman, Mature Woman, Slut, Solowork, Subjectivity",Marina Shiraishi,2026-03-06,https://onejav.com/torrent/achj081
JUR573,『週3日、妻とSEXをしている。』と自慢してきた友人から週5日、毎回4発、合計20発中出ししてそいつの妻を寝取ってやった。 白石茉莉奈,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/jur573/jur573pl.jpg,https://onejav.com/torrent/jur573/download/01681294/onejav.com_jur573.torrent,"Big Tits, Creampie, Cuckold, Married Woman, Mature Woman, Solowork",Marina Shiraishi,2026-02-06,https://onejav.com/torrent/jur573
JUR535,毎晩旦那とヤリまくる絶倫叔母と一泊二日の搾精旅行 ヌカれまくって性に目覚めた童貞の僕は… すべて忘れて連続中出し交尾にハマってしまった。 白石茉莉奈,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jur535/jur535pl.jpg,https://onejav.com/torrent/jur535/download/76916078/onejav.com_jur535.torrent,"Big Tits, Hot Spring, Married Woman, Mature Woman, Slut, Solowork",Marina Shiraishi,2026-01-09,https://onejav.com/torrent/jur535
JUR513,背徳の寝取らせシアタールーム 低俗男たちの醜い肉棒で汚された貞淑妻ー。 白石茉莉奈,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/jur513/jur513pl.jpg,https://onejav.com/torrent/jur513/download/43651928/onejav.com_jur513.torrent,"3P, 4P, Cuckold, Married Woman, Mature Woman, Shame, Solowork",Marina Shiraishi,2025-12-05,https://onejav.com/torrent/jur513
JUR418,お宅訪問ロケに出演しただけなのに…憧れの白石さん家の奥さんがオナニー狂いだと近所中にバレて中年オヤジたちの性玩具にされた話。 白石茉莉奈,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/jur418/jur418pl.jpg,https://onejav.com/torrent/jur418/download/67563480/onejav.com_jur418.torrent,"Big Tits, Creampie, Married Woman, Mature Woman, Shame, Solowork",Marina Shiraishi,2025-10-10,https://onejav.com/torrent/jur418
JUR369,ハプニングバー人妻NTR 「あなたのためよ…」と言っていた妻がいつしか群がる男たちに夢中になっていた。 白石茉莉奈 藤井レイラ,7.5 GB,https://pics.dmm.co.jp/mono/movie/adult/jur369/jur369pl.jpg,https://onejav.com/torrent/jur369/download/12206138/onejav.com_jur369.torrent,"Big Tits, Creampie, Cuckold, Married Woman, Mature Woman","Marina Shiraishi, 藤井レイラ",2025-08-08,https://onejav.com/torrent/jur369
JUR331,女教師NTR 不良生徒に最愛の妻を寝取られてー。 白石茉莉奈,6.6 GB,https://pics.dmm.co.jp/mono/movie/adult/jur331/jur331pl.jpg,https://onejav.com/torrent/jur331/download/19856073/onejav.com_jur331.torrent,"Big Tits, Creampie, Cuckold, Married Woman, Mature Woman, Solowork",Marina Shiraishi,2025-07-04,https://onejav.com/torrent/jur331
JUR306,返事ないから、会社来ちゃった…。 求めて止まない人妻の嫉妬粘着SEX 白石茉莉奈,5.9 GB,https://pics.dmm.co.jp/mono/movie/adult/jur306/jur306pl.jpg,https://onejav.com/torrent/jur306/download/67460598/onejav.com_jur306.torrent,"Big Tits, Drama, Married Woman, Mature Woman, M男, Solowork",Marina Shiraishi,2025-06-06,https://onejav.com/torrent/jur306
JUR320,夜行バス中出し通い妻 転勤先で待つ夫の元へと向かう健気な人妻をスローなセックスと無許可中出しで従順なオンナにした話。 白石茉莉奈,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jur320/jur320pl.jpg,https://onejav.com/torrent/jur320/download/72399373/onejav.com_jur320.torrent,"Affair, Big Tits, Creampie, Married Woman, Mature Woman, Solowork",Marina Shiraishi,2025-05-09,https://onejav.com/torrent/jur320
FPRE166,4K機材で撮影された美熟女ボディを徹底的に堪能！ 極限アングルで迫るエロコス爆乳接写オナニーサポート 叱られ淫語スペシャル！ 白石茉莉奈,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/fpre166/fpre166pl.jpg,https://onejav.com/torrent/fpre166/download/85091226/onejav.com_fpre166.torrent,"Big Tits, Blow, Creampie, Masturbation Support, Solowork, Titty Fuck",Marina Shiraishi,2025-04-02,https://onejav.com/torrent/fpre166
