code,title,size,image_url,torrent_url,tags,actresses,date,page_url
DLDSS544,今晩、’キミ’次第で商談が決まるから…。 逢見リカ,5.5 GB,https://pics.dmm.co.jp/mono/movie/adult/1dldss544/1dldss544pl.jpg,https://onejav.com/torrent/dldss544/download/31942208/onejav.com_dldss544.torrent,"Big Tits, Creampie, Married Woman, Mature Woman, OL, Solowork",Rika Aimi,2026-08-30,https://onejav.com/torrent/dldss544
URE129,累計15万DL越え！！ 原作:ミツミツにく レべチなスワッピング 妊活に悩む平凡な夫婦の日常を狂わせる過激で淫らな夫婦交姦！！,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/ure129/ure129pl.jpg,https://onejav.com/torrent/ure129/download/62102919/onejav.com_ure129.torrent,"Big Tits, Married Woman, Mature Woman, Original Collaboration, Swingers","Rika Aimi, 椿りか",2025-12-19,https://onejav.com/torrent/ure129
SORA606,じんかくそうさ洗脳催● お受験ママの奥様。あなたのココロのスキマ。僕の肉棒でおまんちょと一緒に埋めてあげますよ編 逢見リカ,5.6 GB,https://pics.dmm.co.jp/mono/movie/adult/sora606/sora606pl.jpg,https://onejav.com/torrent/sora606/download/70823285/onejav.com_sora606.torrent,"Big Tits, Drama, Married Woman, Nasty, Hardcore, Solowork, Squirting",Rika Aimi,2025-08-02,https://onejav.com/torrent/sora606
FJIN074,筆おろし温泉ソープ 親父が再婚して― Hカップ巨乳の義母さんができた。家族旅行で僕が童貞だとわかると淫乱な義母さんに狙われて…逢見リカ,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/fjin074/fjin074pl.jpg,https://onejav.com/torrent/fjin074/download/69333447/onejav.com_fjin074.torrent,"Big Tits, Hot Spring, Incest, Married Woman, Soapland, Solowork",Rika Aimi,2025-05-03,https://onejav.com/torrent/fjin074
LUCY008,愛妻よ！他人棒でイキまくれッ 逢見リカ,4.8 GB,https://pics.dmm.co.jp/mono/movie/adult/lucy008/lucy008pl.jpg,https://onejav.com/torrent/lucy008/download/18859062/onejav.com_lucy008.torrent,"3P, 4P, Big Tits, Creampie, Cuckold, Married Woman, Solowork",Rika Aimi,2025-03-25,https://onejav.com/torrent/lucy008
NACR916,ボクの理想を叶えてくれる！AI搭載アイドルロボ「リカ」 逢見リカ,4.8 GB,https://pics.dmm.co.jp/mono/movie/adult/h_237nacr916/h_237nacr916pl.jpg,https://onejav.com/torrent/nacr916/download/84781757/onejav.com_nacr916.torrent,"Big Tits, Blow, Cosplay, Creampie, Huge Butt, Solowork",Rika Aimi,2025-02-20,https://onejav.com/torrent/nacr916
NSFS357,力づくの快感 生意気な妻が犯●れた！,9.5 GB,https://pics.dmm.co.jp/mono/movie/adult/nsfs357/nsfs357pl.jpg,https://onejav.com/torrent/nsfs357/download/48831978/onejav.com_nsfs357.torrent,"Best, Omnibus, Drama, Married Woman, Multiple Story","Aki Sasaki, Ian Hanasaki, 吹石れな, 松下紗世, 羽生ありさ, 潮見百合子, Rika Aimi, 若宮はずき",2025-02-08,https://onejav.com/torrent/nsfs357
TPIN089,前略 幼馴染と私は結婚して夏の田舎で種付け中出し生活を過ごしてます。最高の2人暮らし 逢見リカ,7.1 GB,https://pics.dmm.co.jp/mono/movie/adult/tpin089/tpin089pl.jpg,https://onejav.com/torrent/tpin089/download/57479117/onejav.com_tpin089.torrent,"Childhood Friend, Couple, Gal, Petite, Solowork",Rika Aimi,2025-02-08,https://onejav.com/torrent/tpin089
ZMAR122,まるっと！逢見リカ,7.2 GB,https://pics.dmm.co.jp/mono/movie/adult/h_237zmar122/h_237zmar122pl.jpg,https://onejav.com/torrent/zmar122/download/10915228/onejav.com_zmar122.torrent,"4HR+, Actress Best, Big Tits, Creampie, Married Woman, Solowork",Rika Aimi,2024-10-20,https://onejav.com/torrent/zmar122
NXG494,人妻家庭教師のお色気チラリズム特別指導180分,7.6 GB,https://pics.dmm.co.jp/mono/movie/adult/h_1664nxg494/h_1664nxg494pl.jpg,https://onejav.com/torrent/nxg494/download/23350160/onejav.com_nxg494.torrent,"Creampie, Dirty Words, Kiss, Mature Woman, Tutor","Rika Aimi, 夏樹カオル, 君嶋かほる, 叶綾子",2024-09-20,https://onejav.com/torrent/nxg494
