code,title,size,image_url,torrent_url,tags,actresses,date,page_url
DOKS665,バレたらヤバい状況で敏感乳首をイジられお漏らし絶頂してしまう女子●生たち,5.3 GB,https://pics.dmm.co.jp/mono/movie/adult/h_139doks665/h_139doks665pl.jpg,https://onejav.com/torrent/doks665/download/69343960/onejav.com_doks665.torrent,"Blow, School Girls, Shame, Small Tits, Urination","るるちゃ。, 朝海凪咲, 音羽美鈴, 渡来ふう, ゆうきすず",2026-03-18,https://onejav.com/torrent/doks665
DOKS663,バレたらマズイ状況でこっそり吐息を漏らす 働くオンナの足腰ガクブル角オナニー,4.4 GB,https://pics.dmm.co.jp/mono/movie/adult/h_139doks663/h_139doks663pl.jpg,https://onejav.com/torrent/doks663/download/56328712/onejav.com_doks663.torrent,"Big Tits, Butt, Close Up, Leg Fetish, Masturbation, OL, Other Fetish, Pantyhose, Slut","るるちゃ。, 朝海凪咲, 音羽美鈴, 渡来ふう, ゆうきすず",2026-03-05,https://onejav.com/torrent/doks663
AGMX252,喉ボコに滴るよだれ 下から覗くローアングルフェラチオ,4.5 GB,https://pics.dmm.co.jp/mono/movie/adult/agmx252/agmx252pl.jpg,https://onejav.com/torrent/agmx252/download/55696003/onejav.com_agmx252.torrent,"Beautiful Girl, Big Tits, Blow, Deep Throating, Other Fetish","本田瞳, 大原理央, 水原みその, るるちゃ。, 柊ゆうき, 咲原いおな, Hana Kusunoki",2026-01-24,https://onejav.com/torrent/agmx252
326FCT204,壊れるまで責め続けられ、あっという間にアヘ顔披露！w 絶頂快楽をぶち込まれたド変態スレンダー・るるちゃ。の限界突破中出し,3.6 GB,https://image.mgstage.com/images/kurofune/326fct/204/pb_e_326fct-204.jpg,https://onejav.com/torrent/326fct204/download/07694083/onejav.com_326fct204.torrent,"Amateur, Breasts, Butt, Creampie, Finger Fuck, Masturbation, Planning, POV, Slender",るるちゃ。,2025-11-25,https://onejav.com/torrent/326fct204
AGMX243,軽蔑の眼差しで見下しながら顔面踏みつけセンズリ鑑賞 2,4.5 GB,https://pics.dmm.co.jp/mono/movie/adult/agmx243/agmx243pl.jpg,https://onejav.com/torrent/agmx243/download/10101384/onejav.com_agmx243.torrent,"Dirty Words, M男, Pantyhose, Slut, Subjectivity","るるちゃ。, 天晴乃愛, 市川りく, Mito Wakui, 浦上ひのり, 南紫音, 川崎あいり",2025-10-25,https://onejav.com/torrent/agmx243
DNJR067,,5.6 GB,https://pics.dmm.co.jp/mono/movie/adult/dnjr067/dnjr067pl.jpg,https://onejav.com/torrent/dnjr067/download/04047230/onejav.com_dnjr067.torrent,,"紺野ひかる, 川菜美鈴, 水谷あおい, Waka Ninomiya, 望月あやか, 松本いちか, 美波沙耶, 百瀬あすか, Kozue Minami, るるちゃ。",2022-02-05,https://onejav.com/torrent/dnjr067
DNJR068,,6.4 GB,https://pics.dmm.co.jp/mono/movie/adult/dnjr068/dnjr068pl.jpg,https://onejav.com/torrent/dnjr068/download/94184779/onejav.com_dnjr068.torrent,,"松本いちか, 百瀬あすか, るるちゃ。",2022-02-05,https://onejav.com/torrent/dnjr068
DOKS554,,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/h_139doks554/h_139doks554pl.jpg,https://onejav.com/torrent/doks554/download/79112920/onejav.com_doks554.torrent,,"宮村ななこ, 辻芽愛里, 富井美帆, 松島れみ, るるちゃ。, 佐野なつ, 夏目みらい",2022-02-01,https://onejav.com/torrent/doks554
SORA361,,6.8 GB,https://pics.dmm.co.jp/mono/movie/adult/sora361/sora361pl.jpg,https://onejav.com/torrent/sora361/download/22107967/onejav.com_sora361.torrent,,るるちゃ。,2022-01-30,https://onejav.com/torrent/sora361
MIAA564,The Gal Who Has Moved To The Countryside Is Too Much To Do And Looks Down On The De M Man And Makes A Blow Job.,1.7 GB,https://pics.dmm.co.jp/mono/movie/adult/miaa564/miaa564pl.jpg,https://onejav.com/torrent/miaa564_2/download/95846699/onejav.com_miaa564_2.torrent,"Blow, Creampie, Digital Mosaic, Gal, Male Squirting, School Girls, Solowork",るるちゃ。,2022-01-15,https://onejav.com/torrent/miaa564_2
