code,title,size,image_url,torrent_url,tags,actresses,date,page_url
START528,通学中に読書にふける文系女子大生が吊り革拘束立ちバックで膝ガク潮吹き お漏らししながらイク快感が忘れられず痴〇好みの女に… 一宮るい,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/1start528/1start528pl.jpg,https://onejav.com/torrent/start528/download/14551702/onejav.com_start528.torrent,"3P, 4P, BIGセール, Facials, Female College Student, Slender, Solowork",一宮るい,2026-03-10,https://onejav.com/torrent/start528
START493,人生初のナマ中出し解禁 気持ち良すぎて痙攣が止まらない大絶頂セックス！ 一宮るい,6.8 GB,https://pics.dmm.co.jp/mono/movie/adult/1start493/1start493pl.jpg,https://onejav.com/torrent/start493/download/44031495/onejav.com_start493.torrent,"3P, 4P, Creampie, Slender, Solowork, Squirting",一宮るい,2026-02-10,https://onejav.com/torrent/start493
START469,いいなり温泉旅行 一宮るい,7.5 GB,https://pics.dmm.co.jp/mono/movie/adult/1start469/1start469pl.jpg,https://onejav.com/torrent/start469/download/42510232/onejav.com_start469.torrent,"3P, 4P, Hot Spring, Slender, Solowork, Vibe",一宮るい,2026-01-13,https://onejav.com/torrent/start469
START475,同期のSODSTAR新人天神羽衣と一宮るいが1日SOD女子社員 AV撮影の準備や企画会議など業務体験中にデカチンを即ハメされまくり！人生最大の羞恥に赤面しっぱなし！,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/1start475/1start475pl.jpg,https://onejav.com/torrent/start475/download/19439741/onejav.com_start475.torrent,"Impromptu Sex, OL, Orgy, Shame, Squirting","一宮るい, 天神羽衣",2025-12-09,https://onejav.com/torrent/start475
START457,串刺しP to Mセックス 上司たちのセクハラチ〇ポで上下穴封鎖！声も出せずに身悶えしかできない美人スレンダーOL 一宮るい,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/1start457/1start457pl.jpg,https://onejav.com/torrent/start457/download/51771030/onejav.com_start457.torrent,"3P, 4P, Blow, Drama, Slender, Solowork",一宮るい,2025-11-11,https://onejav.com/torrent/start457
START435,絶頂開発 敏感BODYをガクブル震わせながらジブン史上最高の激イキ！巨根大絶頂 一宮るい,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/1start435/1start435pl.jpg,https://onejav.com/torrent/start435/download/15857556/onejav.com_start435.torrent,"3P, 4P, BIGセール, Huge Cock, Masturbation, Solowork, Squirting",一宮るい,2025-10-14,https://onejav.com/torrent/start435
START392,朝ランジョガー・エステ嬢・OL・ナース 一宮るいのスーパー美脚に目を奪われる妄想4シチュエーション 一宮るい,5.9 GB,https://pics.dmm.co.jp/mono/movie/adult/1start392/1start392pl.jpg,https://onejav.com/torrent/start392/download/73823775/onejav.com_start392.torrent,"3P, 4P, Drama, Leg Fetish, Slender, Solowork",一宮るい,2025-09-09,https://onejav.com/torrent/start392
MBRBA135,美女のハダカ/一宮るい,3.6 GB,https://pics.dmm.co.jp/mono/movie/adult/n_709mbrba135/n_709mbrba135pl.jpg,https://onejav.com/torrent/mbrba135/download/55622857/onejav.com_mbrba135.torrent,"Idol, Image Video, Solowork",一宮るい,2025-08-20,https://onejav.com/torrent/mbrba135
START347,憧れの東京で2人きりエンドレス潮吹きデート 一宮るい,8.5 GB,https://pics.dmm.co.jp/mono/movie/adult/1start347/1start347pl.jpg,https://onejav.com/torrent/start347/download/24977777/onejav.com_start347.torrent,"3P, 4P, Date, Slender, Solowork, Squirting",一宮るい,2025-07-08,https://onejav.com/torrent/start347
START325,イっても止まらない突き上げピストンで連続潮吹き モデル級のくびれボディを限界まで捩らせるエビ反り騎乗位 一宮るい,6.4 GB,https://pics.dmm.co.jp/mono/movie/adult/1start325/1start325pl.jpg,https://onejav.com/torrent/start325/download/40203286/onejav.com_start325.torrent,"3P, 4P, Cowgirl, Slender, Solowork, Squirting",一宮るい,2025-06-10,https://onejav.com/torrent/start325
