code,title,size,image_url,torrent_url,tags,actresses,date,page_url
FTHTD192,スポーツ弱小校の女子マネージャーは強化合宿で男子部員の性処理をするのが我が校の伝統なんです,7.2 GB,https://pics.dmm.co.jp/mono/movie/adult/1fthtd192/1fthtd192pl.jpg,https://onejav.com/torrent/fthtd192/download/74326812/onejav.com_fthtd192.torrent,"3P, 4P, Deep Throating, Drama, Shaved, Squirting","依本しおり, 竹内まゆり",2026-08-30,https://onejav.com/torrent/fthtd192
SORA648,ママ友ランチ帰りに狙われ…つけまわし自宅侵入昏●5Pザコマン潮吹き妻 依本しおり,5.2 GB,https://pics.dmm.co.jp/mono/movie/adult/sora648/sora648pl.jpg,https://onejav.com/torrent/sora648/download/17818878/onejav.com_sora648.torrent,"Creampie, Drug, Married Woman, Solowork, Squirting",依本しおり,2026-08-29,https://onejav.com/torrent/sora648
AVSA452,絶倫ケツ穴＊舐めさせ痴女。変態性癖を抑えきれず豹変した地味顔シングルマザーが肛門クンニをせがみまくって何度も貪欲ナマ中出しSEX 依本しおり,7.4 GB,https://pics.dmm.co.jp/mono/movie/adult/avsa452/avsa452pl.jpg,https://onejav.com/torrent/avsa452/download/62248551/onejav.com_avsa452.torrent,"BIGセール, Creampie, Cunnilingus, Married Woman, Slut, Solowork, Urination",依本しおり,2026-08-22,https://onejav.com/torrent/avsa452
SQTE708,セフレ以上、恋人未満。セフレとしかできないハメ撮りしよ？ 依本しおり,3.8 GB,https://pics.dmm.co.jp/mono/movie/adult/sqte708/sqte708pl.jpg,https://onejav.com/torrent/sqte708/download/55587567/onejav.com_sqte708.torrent,"Beautiful Girl, BIGセール, Blow, Creampie, POV, Solowork, Squirting",依本しおり,2026-08-15,https://onejav.com/torrent/sqte708
MIBB084,セクシーで綺麗なお姉さんのパンストフェチSEX！セレブ感溢れる服を脱がさず着衣プレイ！！ 依本しおり,4.8 GB,https://pics.dmm.co.jp/mono/movie/adult/mibb084/mibb084pl.jpg,https://onejav.com/torrent/mibb084/download/46505029/onejav.com_mibb084.torrent,"BIGセール, Butt, Erotic Wear, Leg Fetish, Pantyhose, Solowork",依本しおり,2026-08-15,https://onejav.com/torrent/mibb084
BBAN596,バイト先の地味メガネ後輩がギャップありまくりの絶倫痴女モンスターで何度も何度もイカされ続けレズ沼堕ちした私 巴ひかり 依本しおり,3.9 GB,https://pics.dmm.co.jp/mono/movie/adult/bban596/bban596pl.jpg,https://onejav.com/torrent/bban596/download/66887011/onejav.com_bban596.torrent,"Big Tits, Lesbian Kiss, Nasty, Hardcore","巴ひかり, 依本しおり",2026-08-07,https://onejav.com/torrent/bban596
DVMM415,同窓会NTRキャンプ 元クラスのマドンナを真昼間から酔わせて何度もハメまくり 中出し輪●の快楽に溺れた美人妻 依本しおり,4.8 GB,https://pics.dmm.co.jp/mono/movie/adult/dvmm415/dvmm415pl.jpg,https://onejav.com/torrent/dvmm415/download/53426680/onejav.com_dvmm415.torrent,"3P, 4P, Big Tits, BIGセール, Creampie, Cuckold, Married Woman, Solowork",依本しおり,2026-07-31,https://onejav.com/torrent/dvmm415
HOWS019,How to学園 観たら【絶対】SEXが上手くなる教科書AV 【沼らせるSEXテクニック編】 依本しおり,6.5 GB,https://pics.dmm.co.jp/mono/movie/adult/hows019/hows019pl.jpg,https://onejav.com/torrent/hows019/download/32845178/onejav.com_hows019.torrent,"4HR+, Beautiful Girl, Big Tits, Cervix, Documentary, How To, Solowork",依本しおり,2026-06-21,https://onejav.com/torrent/hows019
HMN889,お姉ちゃんとその友達の生中出し練習台チ○ポになりました 北岡果林 虹村ゆみ 依本しおり,3.9 GB,https://pics.dmm.co.jp/mono/movie/adult/hmn889/hmn889pl.jpg,https://onejav.com/torrent/hmn889/download/21140147/onejav.com_hmn889.torrent,"Blow, Creampie, Harem, Uniform, Virgin Man","虹村ゆみ, 依本しおり, 北岡果林",2026-06-19,https://onejav.com/torrent/hmn889
MRSS188,因習村 大切な妻に子を授けることが出来なかった僕は、腐った村の因習に抗うことも出来ず、妻が妊娠するまで種付け様に中出しされるのを黙って見ていることしかできなかった 依本しおり,4.6 GB,https://pics.dmm.co.jp/mono/movie/adult/mrss188/mrss188pl.jpg,https://onejav.com/torrent/mrss188/download/29161972/onejav.com_mrss188.torrent,"3P, 4P, Creampie, Cuckold, Married Woman, Solowork",依本しおり,2026-06-13,https://onejav.com/torrent/mrss188
