code,title,size,image_url,torrent_url,tags,actresses,date,page_url
C2960,追憶 湯けむりの旅で再会した人妻たちの記録［四］,10.5 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2960/140c2960pl.jpg,https://onejav.com/torrent/c2960/download/89150587/onejav.com_c2960.torrent,"4HR+, Affair, Best, Omnibus, Married Woman",唐木竹史,2026-03-22,https://onejav.com/torrent/c2960
C2947,うちの妻・Y乃（48）を寝取ってください130,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2947/140c2947pl.jpg,https://onejav.com/torrent/c2947/download/82219968/onejav.com_c2947.torrent,"Cuckold, Married Woman",唐木竹史,2026-02-08,https://onejav.com/torrent/c2947
C2945,寝取られ人妻 湯けむりの旅31,6.6 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2945/140c2945pl.jpg,https://onejav.com/torrent/c2945/download/72413778/onejav.com_c2945.torrent,"Cuckold, Hot Spring, Married Woman",唐木竹史,2026-01-26,https://onejav.com/torrent/c2945
C2944,うちの妻・N子（42）を寝取ってください129,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2944/140c2944pl.jpg,https://onejav.com/torrent/c2944/download/95652283/onejav.com_c2944.torrent,"Cuckold, Married Woman",唐木竹史,2026-01-14,https://onejav.com/torrent/c2944
C2943,うちの妻・W奈（28）を寝取ってください128,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2943/140c2943pl.jpg,https://onejav.com/torrent/c2943/download/91163971/onejav.com_c2943.torrent,"Cuckold, Married Woman",唐木竹史,2025-12-29,https://onejav.com/torrent/c2943
C2941,過激裏オプ交渉 個人撮影会008,4.6 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2941/140c2941pl.jpg,https://onejav.com/torrent/c2941/download/45633444/onejav.com_c2941.torrent,"Amateur, Cosplay, Masturbation",唐木竹史,2025-12-14,https://onejav.com/torrent/c2941
C2934,うちの妻・S百合（25）を寝取ってください127,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2934/140c2934pl.jpg,https://onejav.com/torrent/c2934/download/13323360/onejav.com_c2934.torrent,"Cuckold, Married Woman",唐木竹史,2025-11-01,https://onejav.com/torrent/c2934
C2932,過激裏オプ交渉 個人撮影会007,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2932/140c2932pl.jpg,https://onejav.com/torrent/c2932/download/19991526/onejav.com_c2932.torrent,"Amateur, Cosplay",唐木竹史,2025-10-18,https://onejav.com/torrent/c2932
C2929,うちの妻・Y香里（28）を寝取ってください126,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2929/140c2929pl.jpg,https://onejav.com/torrent/c2929/download/05647415/onejav.com_c2929.torrent,"Cuckold, Married Woman",唐木竹史,2025-10-04,https://onejav.com/torrent/c2929
C2924,うちの妻・S奈（26）を寝取ってください125,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2924/140c2924pl.jpg,https://onejav.com/torrent/c2924/download/78262435/onejav.com_c2924.torrent,"Cuckold, Hot Spring, Married Woman",唐木竹史,2025-08-23,https://onejav.com/torrent/c2924
