code,title,size,image_url,torrent_url,tags,actresses,date,page_url
CEMD822,恥辱、陵●、とびっこ装着・繁華街デート！38 塚田しおり,7.4 GB,https://pics.dmm.co.jp/mono/movie/adult/cemd822/cemd822pl.jpg,https://onejav.com/torrent/cemd822/download/03877226/onejav.com_cemd822.torrent,"Big Tits, Creampie, Huge Butt, Outdoors, Shame, Solowork",塚田しおり,2026-03-25,https://onejav.com/torrent/cemd822
JYMA100,豊満ボディで濃厚サービスをしてくれる むっちり爆乳尻ドスケベ家政婦 エロ神対応の淫乱メイド 塚田しおり,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jyma100/jyma100pl.jpg,https://onejav.com/torrent/jyma100/download/87419301/onejav.com_jyma100.torrent,"BBW, Big Tits, Creampie, Maid, Solowork",塚田しおり,2026-02-24,https://onejav.com/torrent/jyma100
CEMD799,ノーブラ熟巨乳ムチムチおっぱいデート3 塚田しおり,7.8 GB,https://pics.dmm.co.jp/mono/movie/adult/cemd799/cemd799pl.jpg,https://onejav.com/torrent/cemd799/download/34289359/onejav.com_cemd799.torrent,"Acme · Orgasm, Big Tits, Creampie, Outdoors, Shame, Solowork",塚田しおり,2026-01-24,https://onejav.com/torrent/cemd799
ATYA032,Kカップ国宝爆乳奥さんカッチカチの他人チ●ポぶち込まれ白目剥いてイクっ 塚田しおり,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/atya032/atya032pl.jpg,https://onejav.com/torrent/atya032/download/21963205/onejav.com_atya032.torrent,"3P, 4P, Big Tits, Huge Butt, Married Woman, Solowork",塚田しおり,2025-12-13,https://onejav.com/torrent/atya032
ALDN529,兄嫁と中出ししまくった数日間 塚田しおり,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/aldn529/aldn529pl.jpg,https://onejav.com/torrent/aldn529/download/17967320/onejav.com_aldn529.torrent,"Big Tits, Creampie, Married Woman, Mature Woman, Solowork",塚田しおり,2025-11-22,https://onejav.com/torrent/aldn529
KAM265,欲求不満の人妻が発情 豊満ボディ妻のノーブラ＆ノーパン誘惑 爆乳尻で男達を喰い尽くす 塚田しおり,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/kam265/kam265pl.jpg,https://onejav.com/torrent/kam265/download/50983724/onejav.com_kam265.torrent,"BBW, Big Tits, Creampie, Documentary, Married Woman, Solowork",塚田しおり,2025-11-15,https://onejav.com/torrent/kam265
CEMD763,爆乳で男を癒すド淫乱パイズリエステティシャン 塚田しおり,7.6 GB,https://pics.dmm.co.jp/mono/movie/adult/cemd763/cemd763pl.jpg,https://onejav.com/torrent/cemd763/download/43280974/onejav.com_cemd763.torrent,"BBW, Big Tits, Creampie, Huge Butt, Mature Woman, Solowork",塚田しおり,2025-11-10,https://onejav.com/torrent/cemd763
BIJN279,THE ドキュメント 本能丸出しでする絶頂SEX Kカップ爆乳エロBODYのスケベな完熟欲求不満人妻が快楽に狂いまくる 塚田しおり,5.9 GB,https://pics.dmm.co.jp/mono/movie/adult/bijn279/bijn279pl.jpg,https://onejav.com/torrent/bijn279/download/62600514/onejav.com_bijn279.torrent,"Big Tits, Facesitting, Married Woman, Mature Woman, Nasty, Hardcore, Solowork",塚田しおり,2025-11-01,https://onejav.com/torrent/bijn279
HBAD717,爆乳エロボディを持て余した欲求不満妻が夫に夫婦交換をオネダリして… 塚田しおり・赤城穂波,7.5 GB,https://pics.dmm.co.jp/mono/movie/adult/1hbad717/1hbad717pl.jpg,https://onejav.com/torrent/hbad717/download/01181225/onejav.com_hbad717.torrent,Big Tits,"赤城穂波, 塚田しおり",2025-09-11,https://onejav.com/torrent/hbad717
NACR998,好みの配達員が来るとパンツを脱いでお出迎え！マ〇コを見せつけ誘惑する淫乱奥さん 塚田しおり,5.6 GB,https://pics.dmm.co.jp/mono/movie/adult/h_237nacr998/h_237nacr998pl.jpg,https://onejav.com/torrent/nacr998/download/98577807/onejav.com_nacr998.torrent,"BBW, Big Tits, Blow, Creampie, Drama, Huge Butt, Married Woman, Mature Woman, Slut, Solowork",塚田しおり,2025-08-05,https://onejav.com/torrent/nacr998
