code,title,size,image_url,torrent_url,tags,actresses,date,page_url
ROYD298,専属女優モニタリング。マブダチとキスするって、普通に男とセックスするより恥ずかしくないですか？,5.6 GB,https://pics.dmm.co.jp/mono/movie/adult/royd298/royd298pl.jpg,https://onejav.com/torrent/royd298/download/94697984/onejav.com_royd298.torrent,"Digital Mosaic, Finger Fuck, Lesbian Kiss, Vibe","小栗操, 鳳みゆ",2026-03-30,https://onejav.com/torrent/royd298
HMN813,ギリギリおち○こかすめる鼠径部マッサージと五感を刺激する囁き誘惑Gcupセラピストの秘密の裏オプ中出し爆ヌキ20発メンズエステ 小栗操,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/hmn813/hmn813pl.jpg,https://onejav.com/torrent/hmn813/download/63361195/onejav.com_hmn813.torrent,"Beauty Shop, Big Tits, Creampie, Lotion, Slut, Solowork",小栗操,2026-03-13,https://onejav.com/torrent/hmn813
DASS877,売マン娘。お母さんの代わり。見知らぬおじさんにノドもチツもココロも犯●れるしかないのです。 小栗操,5.2 GB,https://pics.dmm.co.jp/mono/movie/adult/dass877/dass877pl.jpg,https://onejav.com/torrent/dass877/download/40665846/onejav.com_dass877.torrent,"Creampie, Deep Throating, Insult, Nasty, Hardcore, Solowork, Uniform",小栗操,2026-03-06,https://onejav.com/torrent/dass877
ROYD296,清楚で超内気な義妹を連日チクハラしてたら超敏感早漏体質になってイキまくり！下品な顔してイキまくる変態女子に豹変。 小栗操,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/royd296/royd296pl.jpg,https://onejav.com/torrent/royd296/download/63805991/onejav.com_royd296.torrent,"Creampie, School Girls, Sister, Solowork, Titty Fuck",小栗操,2026-02-20,https://onejav.com/torrent/royd296
ROYD286,絶対おもらし領域 クラスメイトに媚薬漬けにされ、常にお漏らしジョバジョバふともも濡らしのイキ堕ち優等生。 小栗操,4.6 GB,https://pics.dmm.co.jp/mono/movie/adult/royd286/royd286pl.jpg,https://onejav.com/torrent/royd286/download/96519274/onejav.com_royd286.torrent,"Creampie, Leg Fetish, Pantyhose, School Girls, Solowork",小栗操,2026-01-23,https://onejav.com/torrent/royd286
ROYD283,リピーター続出！お触りNGなのにお願いされたら断れない新人エステ嬢は痛客反り立つち●ぽをゴキュゴキュ立ちバック生挿入で、不覚の両足ガクブル痙攣イキ！！ 小栗操,4.9 GB,https://pics.dmm.co.jp/mono/movie/adult/royd283/royd283pl.jpg,https://onejav.com/torrent/royd283/download/51895955/onejav.com_royd283.torrent,"Big Tits, Blow, Cowgirl, Creampie, Digital Mosaic, Solowork",小栗操,2025-12-19,https://onejav.com/torrent/royd283
ROYD276,淫魔召喚 僕らの金玉カラッポにする美巨乳ボディの小悪魔サキュバス 小栗操,4.9 GB,https://pics.dmm.co.jp/mono/movie/adult/royd276/royd276pl.jpg,https://onejav.com/torrent/royd276/download/54791839/onejav.com_royd276.torrent,"Big Tits, Cowgirl, Creampie, Fantasy, Slut, Solowork",小栗操,2025-11-21,https://onejav.com/torrent/royd276
HMN761,街中で逆ナン！見つけた童貞に…ガチンコ出演交渉！みさみさの凄テクに10分間耐えれたらナマ中出しで童貞卒業させたげる 小栗操,6.4 GB,https://pics.dmm.co.jp/mono/movie/adult/hmn761/hmn761pl.jpg,https://onejav.com/torrent/hmn761/download/30411645/onejav.com_hmn761.torrent,"Big Tits, Creampie, Nampa, Solowork, Titty Fuck, Virgin Man",小栗操,2025-11-14,https://onejav.com/torrent/hmn761
DASS735,「～恋人よ 僕は旅立つ～」場末スナックで出会ったデカチンに身を任せ...旦那を忘れ、体液と肉体を重ねて何度も何度も中出し子宮恋愛。 小栗操,4.9 GB,https://pics.dmm.co.jp/mono/movie/adult/dass735/dass735pl.jpg,https://onejav.com/torrent/dass735/download/61952612/onejav.com_dass735.torrent,"Affair, Big Tits, Creampie, Cuckold, Slender, Solowork",小栗操,2025-11-07,https://onejav.com/torrent/dass735
ROYD268,無防備に巨乳デカ尻を見せつけ誘惑してくる幼馴染に理性が吹き飛び…ドスケベボディを自覚させるまで何度もヤリまくった夏。 小栗操,4.1 GB,https://pics.dmm.co.jp/mono/movie/adult/royd268/royd268pl.jpg,https://onejav.com/torrent/royd268/download/19635697/onejav.com_royd268.torrent,"Big Tits, Blow, Cowgirl, Creampie, School Girls, Solowork",小栗操,2025-10-24,https://onejav.com/torrent/royd268
