code,title,size,image_url,torrent_url,tags,actresses,date,page_url
ECB166,Mおぢさんと、人妻さん。（ECB-166）,5.7 GB,https://pics.dmm.co.jp/mono/movie/adult/2ecb166/2ecb166pl.jpg,https://onejav.com/torrent/ecb166/download/42115743/onejav.com_ecb166.torrent,"Cowgirl, Married Woman, Multiple Story, M男, POV, Slut","工藤ゆり, 桃木結菜, 松野蘭",2026-04-27,https://onejav.com/torrent/ecb166
ALDN569,妻が突然中出しを要求してきた理由 工藤ゆり,4.8 GB,https://pics.dmm.co.jp/mono/movie/adult/aldn569/aldn569pl.jpg,https://onejav.com/torrent/aldn569/download/98874639/onejav.com_aldn569.torrent,"Creampie, Married Woman, Mature Woman, Solowork",工藤ゆり,2026-03-21,https://onejav.com/torrent/aldn569
AGMX254,アナルの入り口を指先でコリコリされながら悶絶大量搾精,4.8 GB,https://pics.dmm.co.jp/mono/movie/adult/agmx254/agmx254pl.jpg,https://onejav.com/torrent/agmx254/download/26133840/onejav.com_agmx254.torrent,"Anal, Blow, Handjob, Other Fetish, Slut","杉崎みさき, 吉家れいあ, 石崎なぎさ, 盛永いろは, 工藤ゆり, 琥珀やや, あかね麗",2026-01-24,https://onejav.com/torrent/agmx254
PYM547,アナタは私専用おちん○ん！ 騎乗位特化ディルドオナニー,10.4 GB,https://pics.dmm.co.jp/mono/movie/adult/h_283pym547/h_283pym547pl.jpg,https://onejav.com/torrent/pym547/download/14854269/onejav.com_pym547.torrent,"4HR+, Breasts, Masturbation, Older Sister, Toy","虹村ゆみ, 幸村紀那, 望月ふうか, 工藤ゆり, 椿りか, 真城かのん, 千川とわ, 若月もあ, 瀬戸ひなこ, 蒼まりな",2026-01-15,https://onejav.com/torrent/pym547
NSFS437,借金夫婦 妻を他人に抱かせました。15 肉体労働者たちとの屈辱共同生活 工藤ゆり,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/nsfs437/nsfs437pl.jpg,https://onejav.com/torrent/nsfs437/download/04302079/onejav.com_nsfs437.torrent,"3P, 4P, BIGセール, Creampie, Drama, Married Woman, Solowork",工藤ゆり,2025-12-06,https://onejav.com/torrent/nsfs437
SYKH167,ロングブーツのライダース女子に弄られ挟まれしゃぶられたい！,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/sykh167/sykh167pl.jpg,https://onejav.com/torrent/sykh167/download/44746425/onejav.com_sykh167.torrent,"Blow, Erotic Wear, Footjob, Handjob, Leg Fetish","Miho Tsuno, 凰華りん, 葉山さゆり, 蘭華, 工藤ゆり, 武田怜香, 那賀崎ゆきね, 葉月まゆ, 生田望美, あかね麗",2025-11-15,https://onejav.com/torrent/sykh167
HSODA092,脱いだら凄い豪快肝っ玉母ちゃんに勃起バレしてしまい、口説いたら女になったかーちゃんと種付けセックス 工藤ゆり,4.8 GB,https://pics.dmm.co.jp/mono/movie/adult/hsoda092/hsoda092pl.jpg,https://onejav.com/torrent/hsoda092/download/73910661/onejav.com_hsoda092.torrent,"Back, Blow, Cowgirl, Incest, Mother, Solowork",工藤ゆり,2025-11-07,https://onejav.com/torrent/hsoda092
MYBA087,人妻の花びらめくり 工藤ゆり,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/myba087/myba087pl.jpg,https://onejav.com/torrent/myba087/download/15018053/onejav.com_myba087.torrent,"Affair, Creampie, Married Woman, Mature Woman, Solowork",工藤ゆり,2025-10-18,https://onejav.com/torrent/myba087
PYM534,自撮り ちんしこ誘惑見せ合いオナニー,9.5 GB,https://pics.dmm.co.jp/mono/movie/adult/h_283pym534/h_283pym534pl.jpg,https://onejav.com/torrent/pym534/download/31801116/onejav.com_pym534.torrent,"Breasts, Masturbation, Older Sister, Shaved, Squirting","小野坂ゆいか, 工藤ゆり, 逢沢みゆ, 二羽紗愛, 凪宮ゆきの, 涼宮るな, 白石なぎさ, 久和原せいら, 七原さゆ, 逢坂希穂",2025-10-15,https://onejav.com/torrent/pym534
MOND298,憧れの女上司と 工藤ゆり,5.7 GB,https://pics.dmm.co.jp/mono/movie/adult/mond298/mond298pl.jpg,https://onejav.com/torrent/mond298/download/42401634/onejav.com_mond298.torrent,"Affair, Big Tits, Creampie, Married Woman, Mature Woman, Solowork",工藤ゆり,2025-09-20,https://onejav.com/torrent/mond298
