code,title,size,image_url,torrent_url,tags,actresses,date,page_url
VENX371,スリルでテンションが爆上がりする母と息子が父の帰宅直前に燃え上がるクライマックス絶体絶命セックス 平岡里枝子,4.2 GB,https://pics.dmm.co.jp/mono/movie/adult/venx371/venx371pl.jpg,https://onejav.com/torrent/venx371/download/40677434/onejav.com_venx371.torrent,"Creampie, Incest, Married Woman, Mature Woman, Nasty, Hardcore, Solowork",平岡里枝子,2026-05-15,https://onejav.com/torrent/venx371
ALDN560,こころは無理…でも縛られたい 平岡里枝子,4.7 GB,https://pics.dmm.co.jp/mono/movie/adult/aldn560/aldn560pl.jpg,https://onejav.com/torrent/aldn560/download/90727026/onejav.com_aldn560.torrent,"Creampie, Married Woman, Mature Woman, Solowork",平岡里枝子,2026-02-08,https://onejav.com/torrent/aldn560
HTHD236,友達の母親～最終章～ 平岡里枝子,4.7 GB,https://pics.dmm.co.jp/mono/movie/adult/h_086hthd236/h_086hthd236pl.jpg,https://onejav.com/torrent/hthd236/download/16771918/onejav.com_hthd236.torrent,"Affair, Creampie, Married Woman, Mature Woman, Solowork",平岡里枝子,2026-01-29,https://onejav.com/torrent/hthd236
VENX360,【ニュース速報】女性を●す事でしか興奮しない本物レ●プ魔を逮捕 逮捕された少年Aは3年前に家出した私の息子…一緒に暮らしていた時は欲望を抑える為に私が性処理してました。 平岡里枝子,4.1 GB,https://pics.dmm.co.jp/mono/movie/adult/venx360/venx360pl.jpg,https://onejav.com/torrent/venx360/download/59320149/onejav.com_venx360.torrent,"Creampie, Incest, Married Woman, Mature Woman, Nasty, Hardcore, Solowork",平岡里枝子,2026-01-25,https://onejav.com/torrent/venx360
PFAS041,おばさんの接吻＆セックス 中年人妻の熟れたおいしいベロ,4.0 GB,https://pics.dmm.co.jp/mono/movie/adult/pfas041/pfas041pl.jpg,https://onejav.com/torrent/pfas041/download/35250907/onejav.com_pfas041.torrent,"Drama, Kiss, Married Woman, Mature Woman, Multiple Story, Nasty, Hardcore","藤咲紫, 平岡里枝子, 高園ゆり子",2026-01-24,https://onejav.com/torrent/pfas041
ALDN537,妻友 いきなりナマがいい 平岡里枝子,4.3 GB,https://pics.dmm.co.jp/mono/movie/adult/aldn537/aldn537pl.jpg,https://onejav.com/torrent/aldn537/download/24065321/onejav.com_aldn537.torrent,"Big Tits, BIGセール, Creampie, Married Woman, Mature Woman, Solowork",平岡里枝子,2025-12-06,https://onejav.com/torrent/aldn537
KSBJ395,優しくてキレイなお義母さんに恋をしてしまった僕 平岡里枝子,4.0 GB,https://pics.dmm.co.jp/mono/movie/adult/ksbj395/ksbj395pl.jpg,https://onejav.com/torrent/ksbj395/download/20524342/onejav.com_ksbj395.torrent,"Breasts, Drama, Mature Woman, Slender, Solowork, Stepmother",平岡里枝子,2025-08-30,https://onejav.com/torrent/ksbj395
KSBJ390,厳選！微乳スレンダー美熟女BEST15人,10.2 GB,https://pics.dmm.co.jp/mono/movie/adult/ksbj390/ksbj390pl.jpg,https://onejav.com/torrent/ksbj390/download/59614543/onejav.com_ksbj390.torrent,"4HR+, Best, Omnibus, Mature Woman, Slender, Small Tits","井上綾子, Aki Sasaki, 夏目優希, 矢部寿恵, 平清香, 阿部栞菜, Saryu Usui, 夏樹カオル, 新堂有望, 平岡里枝子, ▼すべて表示する",2025-08-02,https://onejav.com/torrent/ksbj390
NASK269,本当にあったエッチなお話55 嫁よりエロい義母全四話,10.2 GB,https://pics.dmm.co.jp/mono/movie/adult/nask269/nask269pl.jpg,https://onejav.com/torrent/nask269/download/79894262/onejav.com_nask269.torrent,"4HR+, Best, Omnibus, Mature Woman, Multiple Story, Stepmother","麻生まり, 井上綾子, 平岡里枝子, 近藤郁美",2025-07-19,https://onejav.com/torrent/nask269
NASK270,流れるような曲線美！スレンダー熟女16人,10.2 GB,https://pics.dmm.co.jp/mono/movie/adult/nask270/nask270pl.jpg,https://onejav.com/torrent/nask270/download/06271016/onejav.com_nask270.torrent,"4HR+, Best, Omnibus, Mature Woman, Slender, Small Tits","麻生千春, 遠藤しおり, 沙原さゆ, 阿部栞菜, 平岡里枝子, 宮沢優里, 羽田つばさ, Ian Hanasaki, 神尾千明, 峰岸カレン, ▼すべて表示する",2025-07-19,https://onejav.com/torrent/nask270
