code,title,size,image_url,torrent_url,tags,actresses,date,page_url
ATID672,美人女医、堕ちるまで… 広瀬ゆり,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/atid672/atid672pl.jpg,https://onejav.com/torrent/atid672/download/08603877/onejav.com_atid672.torrent,"Acme · Orgasm, Creampie, Drama, Female Doctor, Humiliation, Solowork",広瀬ゆり,2026-03-02,https://onejav.com/torrent/atid672
SAME206,女捜査官 裏切りのリボルバー 広瀬ゆり,4.4 GB,https://pics.dmm.co.jp/mono/movie/adult/same206/same206pl.jpg,https://onejav.com/torrent/same206/download/98291244/onejav.com_same206.torrent,"Creampie, Drama, Female Investigator, Humiliation, Solowork",広瀬ゆり,2025-10-31,https://onejav.com/torrent/same206
SAME200,鍵を開けて待ってます…。 マンションに潜むオーガズム 広瀬ゆり,4.8 GB,https://pics.dmm.co.jp/mono/movie/adult/same200/same200pl.jpg,https://onejav.com/torrent/same200/download/43339850/onejav.com_same200.torrent,"Affair, Creampie, Drama, Married Woman, Solowork",広瀬ゆり,2025-08-29,https://onejav.com/torrent/same200
SAME195,愛人調教オフィス 広瀬ゆり,4.4 GB,https://pics.dmm.co.jp/mono/movie/adult/same195/same195pl.jpg,https://onejav.com/torrent/same195/download/02577073/onejav.com_same195.torrent,"Drama, Humiliation, OL, Shame, Solowork",広瀬ゆり,2025-08-01,https://onejav.com/torrent/same195
REBD939,Yuri Temptation Rush・広瀬ゆり,3.9 GB,https://pics.dmm.co.jp/mono/movie/adult/h_346rebd939/h_346rebd939pl.jpg,https://onejav.com/torrent/rebd939/download/89000634/onejav.com_rebd939.torrent,"AV女優, Big Tits, Image Video, Sexy, Solowork",広瀬ゆり,2025-05-15,https://onejav.com/torrent/rebd939
JUR321,営業中は彼らに犯●れ続けて…。 店を守るため身体を差し出した コンビニパート妻の店内性奉仕 広瀬ゆり,6.8 GB,https://pics.dmm.co.jp/mono/movie/adult/jur321/jur321pl.jpg,https://onejav.com/torrent/jur321/download/70427561/onejav.com_jur321.torrent,"Big Tits, Married Woman, Mature Woman, Shame, Solowork, Various Professions",広瀬ゆり,2025-05-09,https://onejav.com/torrent/jur321
JUR228,昔俺の事が好きだった地味な幼馴染が、色気漂う巨乳人妻に進化していたので、性欲が尽き果てるまで生ハメしまくった…。 広瀬ゆり,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/jur228/jur228pl.jpg,https://onejav.com/torrent/jur228/download/96841371/onejav.com_jur228.torrent,"Affair, Big Tits, Creampie, Married Woman, Mature Woman, Solowork",広瀬ゆり,2025-04-23,https://onejav.com/torrent/jur228
JUQ917,高層ホテルに呼ばれた人妻 権力に逆らえず最愛の妻を売って…。 広瀬ゆり,6.9 GB,https://pics.dmm.co.jp/mono/movie/adult/juq917/juq917pl.jpg,https://onejav.com/torrent/juq917/download/22865090/onejav.com_juq917.torrent,"Big Tits, Creampie, Cuckold, Married Woman, Mature Woman, Solowork",広瀬ゆり,2024-11-26,https://onejav.com/torrent/juq917
JUQ900,Madonna航空、専属イイオンナ豪華大共演―。 黒艶パンスト人妻CA物語 ～新人男子CAを大人の色気と美脚タイツで搾精指導～,7.8 GB,https://pics.dmm.co.jp/mono/movie/adult/juq900/juq900pl.jpg,https://onejav.com/torrent/juq900/download/84122441/onejav.com_juq900.torrent,"Leg Fetish, Married Woman, Mature Woman, Pantyhose, Various Professions","小野りんか, Kana Mito, 武藤あやか, 広瀬ゆり",2024-10-04,https://onejav.com/torrent/juq900
PBD472,体液ダダ漏れ88000cc！痙攣350000回！美っしょビショ漏れ潮吹きで下品なアクメ姿を世に晒すお姉さんたち50連発,10.1 GB,https://pics.dmm.co.jp/mono/movie/adult/pbd472/pbd472pl.jpg,https://onejav.com/torrent/pbd472/download/17853594/onejav.com_pbd472.torrent,"4HR+, Nasty, Hardcore, Older Sister, Slender, Squirting, Toy","松本梨穂, Miu Shiramine, 広瀬ゆり, 竹内有紀",2024-07-12,https://onejav.com/torrent/pbd472
