code,title,size,image_url,torrent_url,tags,actresses,date,page_url
ATYA040,色気ムンムン！熟ボディ奥さんレス生活で性欲溜まりすぎて限界…絶倫おじさんと相性抜群不倫セックス 川上ゆう,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/atya040/atya040pl.jpg,https://onejav.com/torrent/atya040/download/32390038/onejav.com_atya040.torrent,"3P, 4P, Big Tits, Married Woman, Mature Woman, Solowork",森野雫,2026-05-16,https://onejav.com/torrent/atya040
VENX372,【ニュース速報】女性を●す事でしか興奮しない本物レ●プ魔を逮捕 逮捕された少年Aは3年前に家出した私の息子…一緒に暮らしていた時は欲望を抑える為に私が性処理してました。 川上ゆう,3.5 GB,https://pics.dmm.co.jp/mono/movie/adult/venx372/venx372pl.jpg,https://onejav.com/torrent/venx372/download/76457744/onejav.com_venx372.torrent,"Creampie, Incest, Married Woman, Mature Woman, Nasty, Hardcore, Solowork",森野雫,2026-05-15,https://onejav.com/torrent/venx372
YMDS270,生ハメ中出し温泉旅行 川上ゆうを独占した一泊二日の旅,5.9 GB,https://pics.dmm.co.jp/mono/movie/adult/ymds270/ymds270pl.jpg,https://onejav.com/torrent/ymds270/download/24864870/onejav.com_ymds270.torrent,"Creampie, Cum, Deep Throating, Kiss, Solowork, Squirting",森野雫,2026-04-04,https://onejav.com/torrent/ymds270
ALDN553,親父の後妻からの中出し要求 川上ゆう,5.5 GB,https://pics.dmm.co.jp/mono/movie/adult/aldn553/aldn553pl.jpg,https://onejav.com/torrent/aldn553/download/48550327/onejav.com_aldn553.torrent,"Big Tits, Creampie, Married Woman, Mature Woman, Solowork",森野雫,2026-01-24,https://onejav.com/torrent/aldn553
SGM061,グローバルメディア25周年記念特別作品 淫習村 村に嫁いで来た若妻と優しく絡み合う村女の淫靡で濃厚なレズSEX そして次々と迫る村男達の肉棒！容赦ないアナル姦通6P乱交の儀式 川上ゆう・音琴るい,5.7 GB,https://pics.dmm.co.jp/mono/movie/adult/sgm061/sgm061pl.jpg,https://onejav.com/torrent/sgm061/download/88465025/onejav.com_sgm061.torrent,"Anal, BIGセール, Historical Play, Humiliation, Married Woman, Mature Woman","森野雫, 音琴るい",2025-12-20,https://onejav.com/torrent/sgm061
RBK125,真咲監督Presents ピンクスパイダー 今日は貴女を追い詰めます。,6.6 GB,https://pics.dmm.co.jp/mono/movie/adult/rbk125/rbk125pl.jpg,https://onejav.com/torrent/rbk125/download/02016914/onejav.com_rbk125.torrent,"Deep Throating, Documentary, Humiliation, Restraints","桃瀬ひまり, 真咲南朋, 森野雫",2025-10-31,https://onejav.com/torrent/rbk125
VENX345,仲良しだと思っていた両親が実はセックスレスで…母は誰にも相談できずに息子の布団にもぐり込む性欲爆発中出し相姦 川上ゆう,2.2 GB,https://pics.dmm.co.jp/mono/movie/adult/venx345/venx345pl.jpg,https://onejav.com/torrent/venx345/download/71764204/onejav.com_venx345.torrent,"Creampie, Incest, Married Woman, Mature Woman, Solowork",森野雫,2025-10-17,https://onejav.com/torrent/venx345
HMIX049,嫁の母と禁断性交 妻よりも熟女の魅力が溢れる義母との禁断姦に溺れる家庭内不倫 20人 4時間,10.1 GB,https://pics.dmm.co.jp/mono/movie/adult/hmix049/hmix049pl.jpg,https://onejav.com/torrent/hmix049/download/39357580/onejav.com_hmix049.torrent,"4HR+, Best, Omnibus, Married Woman, Mature Woman, Mother","森野雫, 寺島志保, 山瀬美紀, 一場れいか, 深月ちぐさ, 加藤あやの, 上島美都子, 三枝由梨, 奈良崎みづき, 京野美沙, ▼すべて表示する",2025-09-20,https://onejav.com/torrent/hmix049
HMIX048,夏の昭和の官能劇 戦時と戦後を描く女たちの生々しい性の営み 12人 4時間,10.1 GB,https://pics.dmm.co.jp/mono/movie/adult/hmix048/hmix048pl.jpg,https://onejav.com/torrent/hmix048/download/51960394/onejav.com_hmix048.torrent,"4HR+, Best, Omnibus, BIGセール, Historical Play, Married Woman, Mature Woman","森野雫, 翔田千里, 西園寺美緒, 夏樹カオル, 吉澤清美, 藤沢芳恵, 西尾みずえ, 中山佳子, 美嶋宏子, 岩崎千鶴, ▼すべて表示する",2025-08-23,https://onejav.com/torrent/hmix048
NSFS403,AIリマスター版 極上濃厚エロビデオ もの凄い接吻 名作永久保存版3時間,8.8 GB,https://pics.dmm.co.jp/mono/movie/adult/nsfs403/nsfs403pl.jpg,https://onejav.com/torrent/nsfs403/download/47637781/onejav.com_nsfs403.torrent,"Best, Omnibus, Drama, Kiss, Married Woman, Multiple Story","森野雫, 大友唯愛, 石川さとこ, 真心実, 真白希美, 桜沢まひる, 遠藤しおり, 杉本蘭",2025-07-19,https://onejav.com/torrent/nsfs403
