code,title,size,image_url,torrent_url,tags,actresses,date,page_url
CEMD819,ノーブラ美巨乳ポヨンポヨンおっぱいデート4 椿りか,7.0 GB,https://pics.dmm.co.jp/mono/movie/adult/cemd819/cemd819pl.jpg,https://onejav.com/torrent/cemd819/download/17582457/onejav.com_cemd819.torrent,"Big Tits, Creampie, Outdoors, POV, Shame, Solowork",椿りか,2026-03-07,https://onejav.com/torrent/cemd819
MDBK407,顔面パイズリと尻顔騎で窒息しながら何度も抜かれちゃうカラダは100点なヤンキーJ×のむにむに誘惑SEX,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/mdbk407/mdbk407pl.jpg,https://onejav.com/torrent/mdbk407/download/51524629/onejav.com_mdbk407.torrent,"Big Tits, Cowgirl, Creampie, Huge Butt, School Girls","椿りか, Rio Nagarekawa, 柏木こなつ",2026-02-23,https://onejav.com/torrent/mdbk407
NGOD316,同級生デカチン不倫 地味だったクラスの女が十年ぶりに再会したらセレブな人妻になっていたので巨根で突きまくり俺の女にしてしまった件 椿りか,5.6 GB,https://pics.dmm.co.jp/mono/movie/adult/ngod316/ngod316pl.jpg,https://onejav.com/torrent/ngod316/download/20748659/onejav.com_ngod316.torrent,"Big Tits, Creampie, Cuckold, Huge Cock, Married Woman, Solowork",椿りか,2026-02-06,https://onejav.com/torrent/ngod316
JJDA069,工務店の嫁 現場で怪我した従業員を専務夫婦が労災だと見舞いに 椿りか,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/jjda069/jjda069pl.jpg,https://onejav.com/torrent/jjda069/download/94387253/onejav.com_jjda069.torrent,"Big Tits, Creampie, Cuckold, Gal, Married Woman, Solowork",椿りか,2026-02-03,https://onejav.com/torrent/jjda069
YMDD479,ヤリマンワゴンが行く！！ハプニング ア ゴーゴー！！椿りかとリズの珍道中 国民的ゆるふわビッチが逆ナンシロウト狩り！逃げ場なしの密愛無双カーセックス,6.9 GB,https://pics.dmm.co.jp/mono/movie/adult/ymdd479/ymdd479pl.jpg,https://onejav.com/torrent/ymdd479/download/94607375/onejav.com_ymdd479.torrent,"Car Sex, Creampie, Documentary, Reversed Role, Slut, Solowork",椿りか,2026-01-31,https://onejav.com/torrent/ymdd479
MDBK400,【奇跡】デリヘル呼んだら地元の巨乳な友達で非常においしい思いをした件！！8,5.9 GB,https://pics.dmm.co.jp/mono/movie/adult/mdbk400/mdbk400pl.jpg,https://onejav.com/torrent/mdbk400/download/41148124/onejav.com_mdbk400.torrent,"Big Tits, Creampie, Documentary, Prostitutes, Titty Fuck","椿りか, 九井スナオ, Mina Kitano",2026-01-24,https://onejav.com/torrent/mdbk400
UZU035,白衣ナース 献身的おチ●ポ性欲処理 患者ケア病棟,6.0 GB,https://pics.dmm.co.jp/mono/movie/adult/uzu035/uzu035pl.jpg,https://onejav.com/torrent/uzu035/download/43112253/onejav.com_uzu035.torrent,"Big Tits, Blow, Cowgirl, Handjob, Nurse","柏木こなつ, 椿りか, 美咲音",2026-01-24,https://onejav.com/torrent/uzu035
PYM547,アナタは私専用おちん○ん！ 騎乗位特化ディルドオナニー,10.4 GB,https://pics.dmm.co.jp/mono/movie/adult/h_283pym547/h_283pym547pl.jpg,https://onejav.com/torrent/pym547/download/10828596/onejav.com_pym547.torrent,"4HR+, Breasts, Masturbation, Older Sister, Toy","虹村ゆみ, 幸村紀那, 望月ふうか, 工藤ゆり, 椿りか, 真城かのん, 千川とわ, 若月もあ, 瀬戸ひなこ, 蒼まりな",2026-01-15,https://onejav.com/torrent/pym547
MILK274,本日、何度も万引きを繰り返す爆乳シングルマザーを捕まえました。エロい体してたので僕たちなりのやり方で償わせることにしました。椿りか,5.6 GB,https://pics.dmm.co.jp/mono/movie/adult/h_1240milk274/h_1240milk274pl.jpg,https://onejav.com/torrent/milk274/download/15478305/onejav.com_milk274.torrent,"3P, 4P, Big Tits, Creampie, Huge Butt, Married Woman, Solowork, Titty Fuck",椿りか,2026-01-08,https://onejav.com/torrent/milk274
DNJR151,生ハメ大好き 美尻ギャルだらけのパコりまくりコンビニ,5.4 GB,https://pics.dmm.co.jp/mono/movie/adult/dnjr151/dnjr151pl.jpg,https://onejav.com/torrent/dnjr151/download/26278664/onejav.com_dnjr151.torrent,"Creampie, Gal, Harem, M男, Slut","椿りか, 鳳カレン, 若宮はずき",2026-01-02,https://onejav.com/torrent/dnjr151
