code,title,size,image_url,torrent_url,tags,actresses,date,page_url
NGOD330,あの人とは絶っ対イヤ…とわかっているのにご近所のコミュ障中年おやじの体臭と不潔な包茎デカチンに発情しいつも感じてしまってます… 潤うるる,5.3 GB,https://pics.dmm.co.jp/mono/movie/adult/ngod330/ngod330pl.jpg,https://onejav.com/torrent/ngod330/download/17294934/onejav.com_ngod330.torrent,"Affair, Big Tits, Cuckold, Huge Cock, Married Woman, Solowork",潤うるる,2026-04-10,https://onejav.com/torrent/ngod330
MFYD093,ここ、外なのに…。小悪魔お姉さんに囁き誘惑で無理やり勃たされ、チ○ポバカになるまで何度も何度も寸止めされてから、人生最高の射精を味合わされる悶絶寸止めデート 潤うるる,8.1 GB,https://pics.dmm.co.jp/mono/movie/adult/mfyd093/mfyd093pl.jpg,https://onejav.com/torrent/mfyd093/download/80348906/onejav.com_mfyd093.torrent,"Creampie, Date, Dirty Words, Mature Woman, Slut, Solowork",潤うるる,2026-02-13,https://onejav.com/torrent/mfyd093
MFYD083,アジトの扉を開けたら即串刺し！口とマ○コを同時に突かれまくって完堕ち捜査官 潤うるる,5.2 GB,https://pics.dmm.co.jp/mono/movie/adult/mfyd083/mfyd083pl.jpg,https://onejav.com/torrent/mfyd083/download/86086569/onejav.com_mfyd083.torrent,"3P, 4P, Creampie, Female Investigator, Married Woman, Mature Woman, Solowork",潤うるる,2026-01-16,https://onejav.com/torrent/mfyd083
MFYD069,「やめてっ孕んじゃう…！」夫が海外出張中の20日間、夫の部下に毎日中出しされています。 潤うるる,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/mfyd069/mfyd069pl.jpg,https://onejav.com/torrent/mfyd069/download/85285545/onejav.com_mfyd069.torrent,"Creampie, Cuckold, Married Woman, Mature Woman, Solowork",潤うるる,2025-12-12,https://onejav.com/torrent/mfyd069
MFYD061,潤うるるの肉感BODYと結合部をじっくりゆっくり鑑賞しながらシコシコ～できるデカチンストローク4本番！！,5.6 GB,https://pics.dmm.co.jp/mono/movie/adult/mfyd061/mfyd061pl.jpg,https://onejav.com/torrent/mfyd061/download/34106517/onejav.com_mfyd061.torrent,"3P, 4P, Butt, Huge Cock, Married Woman, Mature Woman, Solowork",潤うるる,2025-11-14,https://onejav.com/torrent/mfyd061
MFYD050,偏差値35の学園にやって来た…淫乱女教師（エロビッチティーチャー）潤うるるの情熱SEX！！,6.5 GB,https://pics.dmm.co.jp/mono/movie/adult/mfyd050/mfyd050pl.jpg,https://onejav.com/torrent/mfyd050/download/78771193/onejav.com_mfyd050.torrent,"3P, 4P, Bukkake, Married Woman, Mature Woman, Solowork",潤うるる,2025-10-17,https://onejav.com/torrent/mfyd050
MFYD041,めっちゃ上から目線のイイオンナに見下されながらオナニーしたい！！ 潤うるるのサディズムボイスで超没入オナサポSpecial 完全主観×バイノーラルASMR×パーフェクトJOI,7.2 GB,https://pics.dmm.co.jp/mono/movie/adult/mfyd041/mfyd041pl.jpg,https://onejav.com/torrent/mfyd041/download/40709478/onejav.com_mfyd041.torrent,"Dirty Words, Mature Woman, Mistress, Pantyhose, Slut, Solowork",潤うるる,2025-09-15,https://onejav.com/torrent/mfyd041
MFYD032,女将・潤うるるが絶倫親父を満足させるまでイカせ続ける濃厚ベロキスおもてなしSEX 「お客様からの評価（5.00）の最高級淫乱旅館『清潤荘』へようこそー。」,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/mfyd032/mfyd032pl.jpg,https://onejav.com/torrent/mfyd032/download/20164765/onejav.com_mfyd032.torrent,"Creampie, Kiss, Landlady, Hostess, Mature Woman, Solowork",潤うるる,2025-08-15,https://onejav.com/torrent/mfyd032
SCD244,父親の介護をする娘5,2.1 GB,https://pics.dmm.co.jp/mono/movie/adult/scd244/scd244pl.jpg,https://onejav.com/torrent/scd244/download/37193059/onejav.com_scd244.torrent,"Adopted Daughter, Creampie, Incest, Mature Woman, Multiple Story","潤うるる, 庄司ゆり奈",2025-05-17,https://onejav.com/torrent/scd244
YMDD440,デカ乳でか尻インストラクター 唾液まみれの濃厚濃密口淫パーソナルトレーニング 潤うるる,5.5 GB,https://pics.dmm.co.jp/mono/movie/adult/ymdd440/ymdd440pl.jpg,https://onejav.com/torrent/ymdd440/download/32500500/onejav.com_ymdd440.torrent,"Big Tits, Huge Butt, Instructor, Kiss, Planning, Solowork",潤うるる,2025-03-29,https://onejav.com/torrent/ymdd440
