code,title,size,image_url,torrent_url,tags,actresses,date,page_url
SNOS079,人気学生カップルインフルエンサーがSNSでバズりたくて迷い込んだ先は濃厚絶倫オヤジが住む淫欲まみれの変態村だった…。 白上咲花,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/snos079/snos079pl.jpg,https://onejav.com/torrent/snos079/download/04855572/onejav.com_snos079.torrent,"Acme · Orgasm, Beautiful Girl, Cuckold, Orgy, School Girls, Solowork",白上咲花,2026-02-25,https://onejav.com/torrent/snos079
SNOS047,セクハラ！性欲処理！顔射！全部許してくれるシャイで優しい新人ナースさんはいつも顔面ザーメンまみれ 白上咲花,5.2 GB,https://pics.dmm.co.jp/mono/movie/adult/snos047/snos047pl.jpg,https://onejav.com/torrent/snos047/download/43462944/onejav.com_snos047.torrent,"Beautiful Girl, Blow, Facials, Nurse, Slender, Solowork",白上咲花,2026-01-23,https://onejav.com/torrent/snos047
OFJE594,S1オールスター23名大集合 全7タイトル全部入り 完全ベスト版16時間 未公開の40人越え乱交初収録,39.9 GB,https://pics.dmm.co.jp/mono/movie/adult/ofje594/ofje594pl.jpg,https://onejav.com/torrent/ofje594/download/37089721/onejav.com_ofje594.torrent,"4HR+, Best, Omnibus, Big Tits, Harem, Orgy","河北彩伽, Yume Nikaidou, 金松季歩, 田野憂, Fuua Kaede, Mitsuha Ashitaba, Nana Miho, 川越にこ, 白上咲花, 渚あいり, ▼すべて表示する",2025-12-26,https://onejav.com/torrent/ofje594
SNOS034,孤独につけ込んでJ●舐めたい― ぼっち女子●生は担任に犯●れても嬉しかった。 白上咲花,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/snos034/snos034pl.jpg,https://onejav.com/torrent/snos034/download/72057835/onejav.com_snos034.torrent,"Beautiful Girl, Drama, School Girls, Slender, Solowork, Uniform",白上咲花,2025-12-19,https://onejav.com/torrent/snos034
SNOS005,おじさんオタクのヌキ・ハメ・ブッカケまで許してくれる！！ 優しすぎる神対応アイドルのザー汁まみれファン交流会 白上咲花,7.5 GB,https://pics.dmm.co.jp/mono/movie/adult/snos005/snos005pl.jpg,https://onejav.com/torrent/snos005/download/88267212/onejav.com_snos005.torrent,"Beautiful Girl, Bukkake, Idol, Orgy, Slender, Solowork",白上咲花,2025-11-21,https://onejav.com/torrent/snos005
SONE948,「皆に必要とされたくて…」ぼっち女子美大生が自ら志願した恥ずかしめヌードモデル 白上咲花,4.9 GB,https://pics.dmm.co.jp/mono/movie/adult/sone948/sone948pl.jpg,https://onejav.com/torrent/sone948/download/87562999/onejav.com_sone948.torrent,"3P, 4P, Beautiful Girl, Drama, Female College Student, Slender, Solowork",白上咲花,2025-10-24,https://onejav.com/torrent/sone948
SONE860,温泉旅行で友達と自画撮りしてたらまさかの強・姦・魔・襲来！そのまま自撮りが生々しいハメ撮りレ●プに！ 白上咲花,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/sone860/sone860pl.jpg,https://onejav.com/torrent/sone860/download/03361058/onejav.com_sone860.torrent,"Beautiful Girl, Documentary, Female College Student, Slender, Solowork",白上咲花,2025-09-19,https://onejav.com/torrent/sone860
SONE822,ウブでシャイで未成熟な彼女の妹に欲情し、こっそりハメ続けた最低な僕。 白上咲花,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/sone822/sone822pl.jpg,https://onejav.com/torrent/sone822/download/73897464/onejav.com_sone822.torrent,"Beautiful Girl, Cuckold, Drama, Sister, Slender, Solowork",白上咲花,2025-08-22,https://onejav.com/torrent/sone822
REBD962,Emika2 恋咲くビタースウィート・白上咲花,3.2 GB,https://pics.dmm.co.jp/mono/movie/adult/h_346rebd962/h_346rebd962pl.jpg,https://onejav.com/torrent/rebd962/download/34549174/onejav.com_rebd962.torrent,"AV女優, Breasts, Image Video, REbecca＆BAGUS40％オフセール, Sexy, Solowork, Tall",白上咲花,2025-08-21,https://onejav.com/torrent/rebd962
SONE566,エスワン20周年記念 AV業界史に残る最強タッグ作品 1×18。AVメーカーS1所属の新人ADの俺は、最高セクシー女優様たちにこっそりシコられ、ハメられ、エロいことに巻き込まれる、AV職場ラッキーSEX,7.4 GB,https://pics.dmm.co.jp/mono/movie/adult/sone566/sone566pl.jpg,https://onejav.com/torrent/sone566/download/44751795/onejav.com_sone566.torrent,"Beautiful Girl, Big Tits, Harem, Idol, Subjectivity","田野憂, 五条恋, Nana Miho, 白上咲花, 渚あいり, 浅野こころ, 村上悠華, Mitsuha Ashitaba, Fuua Kaede, 乃坂ひより, ▼すべて表示する",2025-07-18,https://onejav.com/torrent/sone566
