code,title,size,image_url,torrent_url,tags,actresses,date,page_url
DASS880,ヤヴァイお薬いっぱいキッメキメ！股下86cmのぱねぇエエカラダを唾液ヌルヌル舐めねぶってローションぬ～るぬる！爆イキ鬼どぴゅトランスキメセク 笹倉彩,4.8 GB,https://pics.dmm.co.jp/mono/movie/adult/dass880/dass880pl.jpg,https://onejav.com/torrent/dass880/download/76994016/onejav.com_dass880.torrent,"Big Tits, Lotion, Nasty, Hardcore, POV, Slut, Solowork",笹倉彩,2026-03-20,https://onejav.com/torrent/dass880
CAWD939,社員の俺らは…優秀なキレ可愛いOLが社長から気に入られていてもの凄くムカついたので出張先の相部屋で20発中出し孕ませて輪●して発散しました。 笹倉彩,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/cawd939/cawd939pl.jpg,https://onejav.com/torrent/cawd939/download/34387782/onejav.com_cawd939.torrent,"3P, 4P, Big Tits, Creampie, Nasty, Hardcore, OL, Solowork",笹倉彩,2026-02-04,https://onejav.com/torrent/cawd939
SNOS021,不良ギャルさん、デカチン男のハメ痴●に完全敗北！ 笹倉彩,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/snos021/snos021pl.jpg,https://onejav.com/torrent/snos021/download/26106189/onejav.com_snos021.torrent,"Blow, Breasts, School Girls, School Uniform, Solowork, Uniform",笹倉彩,2025-12-19,https://onejav.com/torrent/snos021
SNOS018,ナースコールでいつでもどこでも嬉しそうに性欲処理業界初！ご奉仕型おしゃぶりギャルナース 笹倉彩,5.9 GB,https://pics.dmm.co.jp/mono/movie/adult/snos018/snos018pl.jpg,https://onejav.com/torrent/snos018/download/03263334/onejav.com_snos018.torrent,"Big Tits, Blow, Nurse, Slender, Slut, Solowork",笹倉彩,2025-11-21,https://onejav.com/torrent/snos018
SONE953,会社バーベキューであれよあれよと社員全チ●ポに股を開いちゃう…お酒で激チョロOL（しかも既婚者） 笹倉彩,5.7 GB,https://pics.dmm.co.jp/mono/movie/adult/sone953/sone953pl.jpg,https://onejav.com/torrent/sone953/download/27435352/onejav.com_sone953.torrent,"Big Tits, Cuckold, Married Woman, Orgy, Slender, Solowork",笹倉彩,2025-10-24,https://onejav.com/torrent/sone953
SONE915,事務所の社長になればこんなイイ女も抱き放題！お気に入りスリム美白モデルを愛人に囲って仕事の合間に特濃不倫SEX 笹倉彩,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/sone915/sone915pl.jpg,https://onejav.com/torrent/sone915/download/85204175/onejav.com_sone915.torrent,"Acme · Orgasm, Affair, Big Tits, Breasts, Slender, Solowork",笹倉彩,2025-09-19,https://onejav.com/torrent/sone915
SONE848,エロにオープンなイマドキ痴女に射精管理されたい 生徒を沼らせる巨乳小悪魔女教師の ささやき淫語＆絶対連射シコシコサポート 笹倉彩,5.2 GB,https://pics.dmm.co.jp/mono/movie/adult/sone848/sone848pl.jpg,https://onejav.com/torrent/sone848/download/02422792/onejav.com_sone848.torrent,"Big Tits, Female Teacher, Masturbation Support, Older Sister, Slut, Solowork",笹倉彩,2025-08-22,https://onejav.com/torrent/sone848
SONE813,真夏に帰省したギャルグラドル幼馴染が都会仕込みの痴女テクで引きこもりの僕をヌキ倒してくれた 笹倉彩,7.1 GB,https://pics.dmm.co.jp/mono/movie/adult/sone813/sone813pl.jpg,https://onejav.com/torrent/sone813/download/72979808/onejav.com_sone813.torrent,"Childhood Friend, Male Squirting, Older Sister, Slender, Slut, Solowork",笹倉彩,2025-07-18,https://onejav.com/torrent/sone813
SONE779,色白巨乳な後輩社員と突如相部屋肉食系なイマドキ女子に夜●いされ痴女られ沼らせられ心ごと寝取られてしまいました… 笹倉彩,6.0 GB,https://pics.dmm.co.jp/mono/movie/adult/sone779/sone779pl.jpg,https://onejav.com/torrent/sone779/download/25641646/onejav.com_sone779.torrent,"Big Tits, Cowgirl, Cuckold, OL, Slut, Solowork",笹倉彩,2025-06-20,https://onejav.com/torrent/sone779
SONE777,週刊誌デビューのイマドキ高嶺の花お姉さん AV転身2ヶ月目でエロス才能開花 笹倉彩,7.6 GB,https://pics.dmm.co.jp/mono/movie/adult/sone777/sone777pl.jpg,https://onejav.com/torrent/sone777/download/39722743/onejav.com_sone777.torrent,"Acme · Orgasm, Cervix, Cowgirl, Nasty, Hardcore, Slut, Solowork",笹倉彩,2025-05-23,https://onejav.com/torrent/sone777
