code,title,size,image_url,torrent_url,tags,actresses,date,page_url
AUKG651,五十路レズ ～豊満肢体を密着愛撫 ど熟女同性愛エロス～,5.5 GB,https://pics.dmm.co.jp/mono/movie/adult/aukg651/aukg651pl.jpg,https://onejav.com/torrent/aukg651/download/97360503/onejav.com_aukg651.torrent,"BBW, Big Tits, Drama, Mature Woman","翔田千里, 冬木舞",2026-05-17,https://onejav.com/torrent/aukg651
ALDN559,最高の美肉堪能したい 翔田千里,4.5 GB,https://pics.dmm.co.jp/mono/movie/adult/aldn559/aldn559pl.jpg,https://onejav.com/torrent/aldn559/download/91950297/onejav.com_aldn559.torrent,"Big Tits, Creampie, Married Woman, Mature Woman, Solowork",翔田千里,2026-02-07,https://onejav.com/torrent/aldn559
KSBJ408,写真詐欺が過ぎる！若くてかわいいデリ嬢を呼んだつもりがやってきたのは結構なオバサンだった！？ 翔田千里,5.3 GB,https://pics.dmm.co.jp/mono/movie/adult/ksbj408/ksbj408pl.jpg,https://onejav.com/torrent/ksbj408/download/87187560/onejav.com_ksbj408.torrent,"Big Tits, Creampie, Huge Butt, Mature Woman, Prostitutes, Solowork",翔田千里,2025-12-13,https://onejav.com/torrent/ksbj408
BONU043,出会い天国 素敵なおばちゃんセフレとの濃厚な一日デート 翔田千里,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/bonu043/bonu043pl.jpg,https://onejav.com/torrent/bonu043/download/83978883/onejav.com_bonu043.torrent,"Creampie, Cunnilingus, Huge Butt, Mature Woman, Slut, Solowork",翔田千里,2025-12-04,https://onejav.com/torrent/bonu043
FWTR025,ぽっちゃり巨乳のおばちゃん按摩師 翔田千里～癒やしの豊満ボディに包まれながら思いっきり中●ししたい,4.8 GB,https://pics.dmm.co.jp/mono/movie/adult/fwtr025/fwtr025pl.jpg,https://onejav.com/torrent/fwtr025/download/07164890/onejav.com_fwtr025.torrent,"BBW, Creampie, Massage, Mature Woman, Solowork",翔田千里,2025-11-29,https://onejav.com/torrent/fwtr025
AUKG636,嫁姑レズ ～潮吹き新婚妻と豊満義母の禁断レズ関係～,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/aukg636/aukg636pl.jpg,https://onejav.com/torrent/aukg636/download/24351906/onejav.com_aukg636.torrent,"Drama, Married Woman, Mature Woman, Squirting","翔田千里, 琥珀やや",2025-10-18,https://onejav.com/torrent/aukg636
GONE078,母性痴女 翔田千里,5.4 GB,https://pics.dmm.co.jp/mono/movie/adult/h_1133gone078/h_1133gone078pl.jpg,https://onejav.com/torrent/gone078/download/23613143/onejav.com_gone078.torrent,"BBW, Big Tits, BIGセール, Married Woman, Mature Woman, Slut, Solowork",翔田千里,2025-10-12,https://onejav.com/torrent/gone078
VENX342,スリルでテンションが爆上がりする母と息子が父の帰宅直前に燃え上がるクライマックス絶体絶命セックス 翔田千里,4.1 GB,https://pics.dmm.co.jp/mono/movie/adult/venx342/venx342pl.jpg,https://onejav.com/torrent/venx342/download/36806817/onejav.com_venx342.torrent,"Big Tits, Creampie, Incest, Married Woman, Mature Woman, Solowork",翔田千里,2025-10-10,https://onejav.com/torrent/venx342
XMOM100,四十路 五十路の完熟エロス4時間,10.1 GB,https://pics.dmm.co.jp/mono/movie/adult/h_086xmom100/h_086xmom100pl.jpg,https://onejav.com/torrent/xmom100/download/44795243/onejav.com_xmom100.torrent,"4HR+, Best, Omnibus, Huge Cock, Kiss, Mature Woman","音羽文子, 高坂ますみ, 姫川礼子, 翔田千里, 安野由美",2025-09-25,https://onejav.com/torrent/xmom100
SGM060,翔田千里デビュー20周年記念特別作品 熟年不倫妻 歳を重ねて増した性欲を持て余す助平で淫らな人妻 中高年同士の濃厚交尾と若い燕を誘惑して満たす激しいセックス【写真集連動企画】ハメ撮り動画＋メイキング＆オフショットムービー収録！！ 翔田千里,8.7 GB,https://pics.dmm.co.jp/mono/movie/adult/sgm060/sgm060pl.jpg,https://onejav.com/torrent/sgm060/download/50638175/onejav.com_sgm060.torrent,"Creampie, Drama, Married Woman, Mature Woman, Solowork",翔田千里,2025-09-23,https://onejav.com/torrent/sgm060
