code,title,size,image_url,torrent_url,tags,actresses,date,page_url
FPRE233,盲目の按摩に施術され…イグイグ体質にされた巨乳若妻 菊乃らん,4.4 GB,https://pics.dmm.co.jp/mono/movie/adult/fpre233/fpre233pl.jpg,https://onejav.com/torrent/fpre233/download/02925446/onejav.com_fpre233.torrent,"Acme · Orgasm, Big Tits, Creampie, Married Woman, Massage, Solowork",菊乃らん,2026-05-15,https://onejav.com/torrent/fpre233
FPRE224,あなたが出社して帰るまで私は義父さんの接吻奴●にされています…。 菊乃らん,5.2 GB,https://pics.dmm.co.jp/mono/movie/adult/fpre224/fpre224pl.jpg,https://onejav.com/torrent/fpre224/download/16309238/onejav.com_fpre224.torrent,"Big Tits, Blow, Creampie, Kiss, Married Woman, Solowork",菊乃らん,2026-03-13,https://onejav.com/torrent/fpre224
NIMA071,実写版 俺の上京性生活15 精液検査編 菊乃らん,4.9 GB,https://pics.dmm.co.jp/mono/movie/adult/nima071/nima071pl.jpg,https://onejav.com/torrent/nima071/download/25266279/onejav.com_nima071.torrent,"Big Tits, Blow, Creampie, Original Collaboration, Solowork, Titty Fuck",菊乃らん,2026-01-16,https://onejav.com/torrent/nima071
FPRE204,高飛車女社長を麻縄緊縛で屈辱の女犬調教 老獪なSM調教で巨乳女が動物に成り下がるまで… 菊乃らん,5.2 GB,https://pics.dmm.co.jp/mono/movie/adult/fpre204/fpre204pl.jpg,https://onejav.com/torrent/fpre204/download/45421908/onejav.com_fpre204.torrent,"Big Tits, Creampie, Restraints, SM, Solowork",菊乃らん,2025-11-14,https://onejav.com/torrent/fpre204
FPRE198,M男は飲み物 絶対痴女の性感開発フルコース 菊乃らん,6.7 GB,https://pics.dmm.co.jp/mono/movie/adult/fpre198/fpre198pl.jpg,https://onejav.com/torrent/fpre198/download/54421506/onejav.com_fpre198.torrent,"Acme · Orgasm, Big Tits, Creampie, Dirty Words, Slut, Solowork",菊乃らん,2025-10-17,https://onejav.com/torrent/fpre198
FPRE192,家族に知られたくない姉の弱みを握った弟の僕はずっと嫌な顔されながらむっちり柔らかいパイパンマ○コに中出ししてやりました… 菊乃らん,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/fpre192/fpre192pl.jpg,https://onejav.com/torrent/fpre192/download/14067747/onejav.com_fpre192.torrent,"Big Tits, Blow, Creampie, Facials, Sister, Solowork",菊乃らん,2025-09-12,https://onejav.com/torrent/fpre192
NIMA059,FANZA同人コミックで3.9万部を売り上げる人気作品を映像化！ 実写版 王子様系で女子からモテモテだけど実はマゾメス猫な幼馴染とじっとりえっちする本 菊乃らん,4.5 GB,https://pics.dmm.co.jp/mono/movie/adult/nima059/nima059pl.jpg,https://onejav.com/torrent/nima059/download/86249481/onejav.com_nima059.torrent,"Big Tits, Blow, Original Collaboration, Slut, Solowork, Tall",菊乃らん,2025-06-03,https://onejav.com/torrent/nima059
MANX010,死ぬほどシコれる卑猥なドスケベ肉感ポーズ 貴方に向かって淫語を連発する巨乳美女編 菊乃らん,4.2 GB,https://pics.dmm.co.jp/mono/movie/adult/manx010/manx010pl.jpg,https://onejav.com/torrent/manx010/download/97928305/onejav.com_manx010.torrent,"Acme · Orgasm, Butt, Cowgirl, Creampie, Slut, Solowork",菊乃らん,2025-05-02,https://onejav.com/torrent/manx010
FPRE168,オヤジ輪●！！媚薬濃縮ザーメン中出し25連発NTR 自慢の巨乳妻が移住先で媚薬で狂った村人達に犯●れていたなんて…。 菊乃らん,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/fpre168/fpre168pl.jpg,https://onejav.com/torrent/fpre168/download/78452178/onejav.com_fpre168.torrent,"Acme · Orgasm, Big Tits, Creampie, Cuckold, Married Woman, Solowork",菊乃らん,2025-04-02,https://onejav.com/torrent/fpre168
FPRE161,1日1組限定 美人の巨乳女将が癒し淫語とスローな密着手コキでじっくり射精に導いてくれる回春宿 菊乃らん,6.6 GB,https://pics.dmm.co.jp/mono/movie/adult/fpre161/fpre161pl.jpg,https://onejav.com/torrent/fpre161/download/05850604/onejav.com_fpre161.torrent,"Big Tits, Dirty Words, Handjob, Landlady, Hostess, Massage, Solowork",菊乃らん,2025-02-28,https://onejav.com/torrent/fpre161
