code,title,size,image_url,torrent_url,tags,actresses,date,page_url
DOKS673,顔面特化！アヘ顔四つん這い！,5.6 GB,https://pics.dmm.co.jp/mono/movie/adult/h_139doks673/h_139doks673pl.jpg,https://onejav.com/torrent/doks673/download/32199222/onejav.com_doks673.torrent,"Big Tits, Cuckold, Huge Butt, Lingerie, Masturbation, Older Sister, Other Fetish, Rolling Back Eyes, Fainting, Toy","雫月心桜, 立華静音, Honoka Ashina, 羽月乃蒼, 谷あづさ",2026-05-01,https://onejav.com/torrent/doks673
DOKS666,暗闇でこっそりバレずに射精へ誘う至福のスローフェラチオ（2）,4.9 GB,https://pics.dmm.co.jp/mono/movie/adult/h_139doks666/h_139doks666pl.jpg,https://onejav.com/torrent/doks666/download/96214399/onejav.com_doks666.torrent,"Big Tits, Blow, Breasts, Older Sister, Slut","羽月乃蒼, 谷あづさ, Honoka Ashina, 立華静音, 雫月心桜",2026-03-18,https://onejav.com/torrent/doks666
DOKS668,精子バンクに志願したら超優良提供者と認定され、目の色が変わった女医やナースに枯れ果てるまでザーメンを強●採取された非モテの僕,5.6 GB,https://pics.dmm.co.jp/mono/movie/adult/h_139doks668/h_139doks668pl.jpg,https://onejav.com/torrent/doks668/download/40599964/onejav.com_doks668.torrent,"Creampie, Female Doctor, Harem, Nurse, Slut","谷あづさ, Honoka Ashina, 羽月乃蒼",2026-03-18,https://onejav.com/torrent/doks668
NACX154,ぶらんぶらんと揺れ動く垂れ乳熟女20人VOL.02,10.2 GB,https://pics.dmm.co.jp/mono/movie/adult/h_237nacx154/h_237nacx154pl.jpg,https://onejav.com/torrent/nacx154/download/57143217/onejav.com_nacx154.torrent,"4HR+, BBW, Best, Omnibus, Big Tits, Mature Woman","翔田千里, 寺島志保, 折原ゆかり, 藤下梨花, 和田百美花, 谷あづさ, 上島美都子, 大石忍, 守谷多香子, 牧村彩香, ▼すべて表示する",2025-06-05,https://onejav.com/torrent/nacx154
NACX151,巨乳輪熟女10人BEST,10.2 GB,https://pics.dmm.co.jp/mono/movie/adult/h_237nacx151/h_237nacx151pl.jpg,https://onejav.com/torrent/nacx151/download/60138593/onejav.com_nacx151.torrent,"4HR+, BBW, Best, Omnibus, Big Tits, BIGセール, Other Fetish","永田莉雨, 響りん, 高光真子, 菅野真穂, 牧村彩香, 北川真由香, 武藤あやか, 谷あづさ, 青木りん, 葉月菜穂",2025-04-05,https://onejav.com/torrent/nacx151
ALDN403,凄すぎる超絶ファック 輪●で寝取られ続けて上達していく妻の極上テクニックに黙る夫 谷あづさ,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/aldn403/aldn403pl.jpg,https://onejav.com/torrent/aldn403/download/00935398/onejav.com_aldn403.torrent,"Big Tits, BIGセール第2弾, Creampie, Incest, Married Woman, Mature Woman, Solowork",谷あづさ,2024-12-25,https://onejav.com/torrent/aldn403
DANDY939,勃起したままの男を一切動かさないS字尻振り騎乗位エステで骨抜きにする美尻エステティシャン VOL.5,5.7 GB,https://pics.dmm.co.jp/mono/movie/adult/1dandy939/1dandy939pl.jpg,https://onejav.com/torrent/dandy939/download/33281642/onejav.com_dandy939.torrent,"Beauty Shop, Butt, Cowgirl, Creampie, Slut","Nozomi Arimura, 谷あづさ, 倉本すみれ",2024-09-26,https://onejav.com/torrent/dandy939
XMOM76,濃厚回春 完熟巨乳エステ 谷あづさ,2.8 GB,https://pics.dmm.co.jp/mono/movie/adult/h_086xmom76/h_086xmom76pl.jpg,https://onejav.com/torrent/xmom76/download/55619894/onejav.com_xmom76.torrent,"Beauty Shop, Big Tits, Mature Woman, Solowork",谷あづさ,2024-09-12,https://onejav.com/torrent/xmom76
KAM211,出張マッサージの人妻さんに泣き落としでお願いしまくったら 「お店には内緒ですよ…」ずっぽりSEXさせてもらえた一部始終【10カメ盗撮】6 谷あづさ,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/kam211/kam211pl.jpg,https://onejav.com/torrent/kam211/download/58269725/onejav.com_kam211.torrent,"Big Tits, BIGセール第2弾, Creampie, Married Woman, Massage, Solowork, Voyeur",谷あづさ,2024-08-16,https://onejav.com/torrent/kam211
DDOB134,地上最強のパイズリ女 谷あづさ,5.3 GB,https://pics.dmm.co.jp/mono/movie/adult/ddob134/ddob134pl.jpg,https://onejav.com/torrent/ddob134/download/27159226/onejav.com_ddob134.torrent,"Big Tits, Dirty Words, Handjob, Slut, Solowork, Titty Fuck",谷あづさ,2024-07-13,https://onejav.com/torrent/ddob134
