code,title,size,image_url,torrent_url,tags,actresses,date,page_url
ODVHJ074,某都内サウナにいた綺麗で色っぽいアカスリおばさん妻たちと性交できたエロ話…（3）,6.9 GB,https://pics.dmm.co.jp/mono/movie/adult/48odvhj074/48odvhj074pl.jpg,https://onejav.com/torrent/odvhj074/download/64181342/onejav.com_odvhj074.torrent,"Big Tits, Huge Cock, Married Woman, Massage, Mature Woman","玉城夏帆, 雪奈真冬, 奈良崎みづき, 琴宮まみ",2026-05-13,https://onejav.com/torrent/odvhj074
BACJ173,ひとりの女によって破壊された夫婦は何もかも諦めて快楽に堕ちる悦びに身を任せる,5.3 GB,https://pics.dmm.co.jp/mono/movie/adult/bacj173/bacj173pl.jpg,https://onejav.com/torrent/bacj173/download/02213322/onejav.com_bacj173.torrent,"3P, 4P, Cuckold, Married Woman, Squirting","清巳れの, 雪奈真冬",2026-02-07,https://onejav.com/torrent/bacj173
MUDR318,SEXすると幸運になれる大吉チ〇ポを持った陰キャ男子にクラスの女子が上げチン効果を求めて群がりハメまくる！ クラスの女子全員とヤレるラッキースケベハーレム,4.8 GB,https://pics.dmm.co.jp/mono/movie/adult/mudr318/mudr318pl.jpg,https://onejav.com/torrent/mudr318/download/05861639/onejav.com_mudr318.torrent,"Cowgirl, Creampie, Harem, School Girls, Uniform","有加里ののか, 早見なな, 泉りおん, 伊織ひなの, 須崎美羽, 天乃のあ, 香月えりさ, 木之内奈々葉, 宮ノ木しゅんか, 雪奈真冬",2025-06-13,https://onejav.com/torrent/mudr318
SMOK014,【喉ま○こセクハラ】 苦手な上司のギン勃ち巨根ち○ぽで何度も拡張イラマチオ射精されるデカ尻部下OL 雪奈真冬,6.7 GB,https://pics.dmm.co.jp/mono/movie/adult/smok014/smok014pl.jpg,https://onejav.com/torrent/smok014/download/40968074/onejav.com_smok014.torrent,"Big Tits, Creampie, Huge Butt, OL, Solowork",雪奈真冬,2025-05-03,https://onejav.com/torrent/smok014
PFAS032,令和ザ・スワップ 夫婦交換 人妻姉妹スワッピング同盟,4.0 GB,https://pics.dmm.co.jp/mono/movie/adult/pfas032/pfas032pl.jpg,https://onejav.com/torrent/pfas032/download/74085305/onejav.com_pfas032.torrent,"Cuckold, Drama, Married Woman, Mature Woman, Nasty, Hardcore, Sister","美泉咲, 雪奈真冬",2025-03-29,https://onejav.com/torrent/pfas032
ATID609,初めてのビッグブラックペニス 雪奈真冬,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/atid609/atid609pl.jpg,https://onejav.com/torrent/atid609/download/93382956/onejav.com_atid609.torrent,"Black Actor, Deep Throating, Documentary, Huge Cock, Solowork",雪奈真冬,2024-11-29,https://onejav.com/torrent/atid609
ATID595,「あなた、ごめんなさい…」 旦那に内緒で変態願望。 現役人妻看護師・真冬 雪奈真冬,8.1 GB,https://pics.dmm.co.jp/mono/movie/adult/atid595/atid595pl.jpg,https://onejav.com/torrent/atid595/download/65592498/onejav.com_atid595.torrent,"Deep Throating, Documentary, Enema, Solowork",雪奈真冬,2024-03-29,https://onejav.com/torrent/atid595
USBA073,ザーメンの匂いに興奮する理系女子の真冬ちゃんは凌●大好き変態マゾ娘 雪奈真冬,4.5 GB,https://pics.dmm.co.jp/mono/movie/adult/usba073/usba073pl.jpg,https://onejav.com/torrent/usba073/download/08494952/onejav.com_usba073.torrent,"Bukkake, Deep Throating, Humiliation, Restraint, Solowork",雪奈真冬,2024-02-24,https://onejav.com/torrent/usba073
MISM295,顔面崩壊特化イラマチオ 雪奈真冬,9.2 GB,https://pics.dmm.co.jp/mono/movie/adult/mism295/mism295pl.jpg,https://onejav.com/torrent/mism295/download/71851122/onejav.com_mism295.torrent,"Beautiful Girl, Deep Throating, Nasty, Hardcore, Slender, SM, Solowork",雪奈真冬,2023-11-24,https://onejav.com/torrent/mism295
MIAB024,喉ボコ顔面マ〇コ女 コーマン女上司を食道調教ノド奴●誕生 雪奈真冬,6.5 GB,https://pics.dmm.co.jp/mono/movie/adult/miab024/miab024pl.jpg,https://onejav.com/torrent/miab024/download/76268322/onejav.com_miab024.torrent,"3P, 4P, Deep Throating, Humiliation, MOODYZキャンペーン, Nasty, Hardcore, OL, Solowork",雪奈真冬,2023-11-17,https://onejav.com/torrent/miab024
