code,title,size,image_url,torrent_url,tags,actresses,date,page_url
JUKF132,休日の先生 香澄さん 香澄せな,6.4 GB,https://pics.dmm.co.jp/mono/movie/adult/h_227jukf132/h_227jukf132pl.jpg,https://onejav.com/torrent/jukf132/download/77372652/onejav.com_jukf132.torrent,"Big Tits, Creampie, Electric Massager, Masturbation, Older Sister, Slender, Solowork, Various Professions",香澄せな,2026-04-27,https://onejav.com/torrent/jukf132
JUKF124,某AV事務所で働く巨乳女子マネージャーがクライアント相手に肉体接待 「社長の言う通りにしたら本当にお仕事いただけますか？」 香澄さん 香澄せな,7.1 GB,https://pics.dmm.co.jp/mono/movie/adult/h_227jukf124/h_227jukf124pl.jpg,https://onejav.com/torrent/jukf124/download/98719033/onejav.com_jukf124.torrent,"Big Tits, Creampie, Electric Massager, Masturbation, Shame, Solowork, Various Professions",香澄せな,2024-11-20,https://onejav.com/torrent/jukf124
MGMQ142,変態Mパパを濃厚メスイキさせる天然小悪魔なパパ活痴女 香澄せな,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/mgmq142/mgmq142pl.jpg,https://onejav.com/torrent/mgmq142/download/71332084/onejav.com_mgmq142.torrent,"Anal, Blow, Handjob, M男, Slut, Solowork",香澄せな,2024-11-16,https://onejav.com/torrent/mgmq142
MXGS1331,唾液ダラダラのとろけるベロキスと寸止め生殺し射精コントロール 香澄せな,3.6 GB,https://pics.dmm.co.jp/mono/movie/adult/h_068mxgs1331/h_068mxgs1331pl.jpg,https://onejav.com/torrent/mxgs1331/download/64225543/onejav.com_mxgs1331.torrent,"3P, 4P, Blow, Creampie, Handjob, Solowork",香澄せな,2024-04-16,https://onejav.com/torrent/mxgs1331
NEO128,舐めレズ 篠崎花音＆香澄せな,3.5 GB,https://pics.dmm.co.jp/mono/movie/adult/433neo128/433neo128pl.jpg,https://onejav.com/torrent/neo128/download/80633720/onejav.com_neo128.torrent,"Big Tits, Kiss, Leg Fetish, Lesbian Kiss, Small Tits, Urination","篠崎花音, 香澄せな",2024-02-22,https://onejav.com/torrent/neo128
DDFF033,卑劣なクソ客 奴●エステティシャン 香澄せな,5.3 GB,https://pics.dmm.co.jp/mono/movie/adult/ddff033/ddff033pl.jpg,https://onejav.com/torrent/ddff033/download/89672015/onejav.com_ddff033.torrent,"3P, 4P, Beauty Shop, Big Tits, Handjob, Restraint, Solowork",香澄せな,2023-12-16,https://onejav.com/torrent/ddff033
PTS508,PEAチャンネル 6 妹がリビングでAV見てたらお兄ちゃんはどんな反応するのか！？ パパ活アプリで実のお父さんとマッチングしてみたドッキリ！！,4.5 GB,https://pics.dmm.co.jp/mono/movie/adult/h_021pts508/h_021pts508pl.jpg,https://onejav.com/torrent/pts508/download/75004256/onejav.com_pts508.torrent,"Big Tits, Creampie, Experience Confession, Huge Butt, Older Sister","矢野沙衣, 香澄せな",2023-10-15,https://onejav.com/torrent/pts508
766ESDX015,実父を騙し連れ込み近親中出し Gカップ娘せな2●歳 香澄せな,2.2 GB,https://image.mgstage.com/images/eshiroutodx/766esdx/015/pb_e_766esdx-015.jpg,https://onejav.com/torrent/766esdx015/download/93534853/onejav.com_766esdx015.torrent,"Amateur, Big Tits, Creampie, Huge Butt, Older Sister",香澄せな,2023-10-06,https://onejav.com/torrent/766esdx015
719MAG028,AV女優のホントのSEX見せて下さい 香澄せな,2.0 GB,https://image.mgstage.com/images/matchingtv/719mag/028/pb_e_719mag-028.jpg,https://onejav.com/torrent/719mag028/download/93968239/onejav.com_719mag028.torrent,"Amateur, Documentary, POV, Solowork",香澄せな,2023-10-02,https://onejav.com/torrent/719mag028
SPSA90,美少女戦士セーラーエルメス ～雑魚魔物達の復讐～ 香澄せな,1.7 GB,https://pics.dmm.co.jp/mono/movie/adult/h_173spsa90/h_173spsa90pl.jpg,https://onejav.com/torrent/spsa90/download/59635966/onejav.com_spsa90.torrent,"Solowork, Tentacle, Transformed Heroine",香澄せな,2023-09-20,https://onejav.com/torrent/spsa90
