code,title,size,image_url,torrent_url,tags,actresses,date,page_url
GVH824,母子姦 吉澤友貴,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/gvh824/gvh824pl.jpg,https://onejav.com/torrent/gvh824/download/72157175/onejav.com_gvh824.torrent,"Big Tits, Creampie, Drama, Huge Cock, Mother, Solowork",Yuki Yoshizawa,2026-02-28,https://onejav.com/torrent/gvh824
GIGP70,【G1】銀河の戦姫スパンデクサー・コスモエンジェル 深淵神の器 吉澤友貴,3.2 GB,https://pics.dmm.co.jp/mono/movie/adult/h_173gigp70/h_173gigp70pl.jpg,https://onejav.com/torrent/gigp70/download/75530092/onejav.com_gigp70.torrent,"Action, Fighting Action, Solowork, Special Effects",Yuki Yoshizawa,2026-02-20,https://onejav.com/torrent/gigp70
NGOD315,人妻と巨根青年の筆おろし孕ませ不倫 夫に内緒で密会し繰り返した中出し不貞セックスの果てに… 吉澤友貴,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/ngod315/ngod315pl.jpg,https://onejav.com/torrent/ngod315/download/09244653/onejav.com_ngod315.torrent,"Affair, Creampie, Cuckold, Huge Cock, Married Woman, Solowork",Yuki Yoshizawa,2026-02-06,https://onejav.com/torrent/ngod315
DOKS661,死ぬまでずっと乳首をイジられたい、乳首だけでイキ狂う5人の変態性癖女たち,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/h_139doks661/h_139doks661pl.jpg,https://onejav.com/torrent/doks661/download/65674190/onejav.com_doks661.torrent,"3P, 4P, Nasty, Hardcore, Older Sister, Slender, Squirting","Yuki Yoshizawa, 桐谷すずね, 水月みお, 坂本りお, 碧波しずく",2026-02-05,https://onejav.com/torrent/doks661
DOKS664,オンナを操る魔法の杖 息子たちの嫁を洗脳して寝取る変態義父の中出しライフ,6.0 GB,https://pics.dmm.co.jp/mono/movie/adult/h_139doks664/h_139doks664pl.jpg,https://onejav.com/torrent/doks664/download/52525437/onejav.com_doks664.torrent,"Creampie, Cuckold, Harem, Married Woman, Nasty, Hardcore","Yuki Yoshizawa, 碧波しずく, 水月みお",2026-02-05,https://onejav.com/torrent/doks664
DVMM335,色白デカ尻の家事代行おばさんに即ハメ！デカチンの虜になった人妻が翌日勝手に押しかけてきたので満足するまで何度も中出ししてあげた 47 吉澤友貴,7.1 GB,https://pics.dmm.co.jp/mono/movie/adult/dvmm335/dvmm335pl.jpg,https://onejav.com/torrent/dvmm335/download/91094898/onejav.com_dvmm335.torrent,"Butt, Creampie, Cuckold, Married Woman, Slut, Solowork",Yuki Yoshizawa,2026-01-01,https://onejav.com/torrent/dvmm335
CEMD782,「吉澤友貴」を本気で酔わせたら～性欲暴走リアルSEXドキュメント,5.6 GB,https://pics.dmm.co.jp/mono/movie/adult/cemd782/cemd782pl.jpg,https://onejav.com/torrent/cemd782/download/71705664/onejav.com_cemd782.torrent,"BIGセール, Drinking Party, Mature Woman, Nasty, Hardcore, Orgy, Solowork, Squirting",Yuki Yoshizawa,2025-12-20,https://onejav.com/torrent/cemd782
HEZ848,可愛いけどマグロで全然感じない僕の彼女…その母親は全身が性感帯の絶倫女性 何もしてくれない娘に不満を抱える俺に「女はね、感じさせてこそ感じるの」と全身で教えてくれた―絡みつく舌、離れない腰、ずっと中で求められた夜―吉澤友貴,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/59hez848/59hez848pl.jpg,https://onejav.com/torrent/hez848/download/82709590/onejav.com_hez848.torrent,"Affair, Creampie, Married Woman, Mother, Slut, Solowork",Yuki Yoshizawa,2025-12-14,https://onejav.com/torrent/hez848
FJIN113,バイト先の人妻と日帰り温泉デートのつもりが…青姦＆キメセク三昧 1泊2日ザーメン搾り取られ旅 吉澤友貴,5.5 GB,https://pics.dmm.co.jp/mono/movie/adult/fjin113/fjin113pl.jpg,https://onejav.com/torrent/fjin113/download/71838020/onejav.com_fjin113.torrent,"Drug, Lotion, Married Woman, Nasty, Hardcore, Outdoors, Solowork",Yuki Yoshizawa,2025-11-29,https://onejav.com/torrent/fjin113
MYBA086,人妻の花びらめくり 吉澤友貴,4.8 GB,https://pics.dmm.co.jp/mono/movie/adult/myba086/myba086pl.jpg,https://onejav.com/torrent/myba086/download/16077691/onejav.com_myba086.torrent,"Affair, Breasts, Creampie, Married Woman, Mature Woman, Solowork",Yuki Yoshizawa,2025-09-13,https://onejav.com/torrent/myba086
