code,title,size,image_url,torrent_url,tags,actresses,date,page_url
SORA634,じんかくそうさ洗脳催● 赤ちゃんが欲しい人妻の切なる願いを妊活マイスターが弄び五段活用で孕ませ洗脳した編 小野坂ゆいか,5.6 GB,https://pics.dmm.co.jp/mono/movie/adult/sora634/sora634pl.jpg,https://onejav.com/torrent/sora634/download/01443599/onejav.com_sora634.torrent,"Creampie, Drama, Married Woman, Nasty, Hardcore, Shame, Solowork",小野坂ゆいか,2026-05-02,https://onejav.com/torrent/sora634
DVRT074,むっちり巨乳のハウスクリーニングのお姉さんが追加サービスで射精のお手伝いしてくれた 小野坂ゆいか,5.7 GB,https://pics.dmm.co.jp/mono/movie/adult/dvrt074/dvrt074pl.jpg,https://onejav.com/torrent/dvrt074/download/17997737/onejav.com_dvrt074.torrent,"Big Tits, Creampie, Masked, Solowork, Titty Fuck, Various Professions",小野坂ゆいか,2026-05-01,https://onejav.com/torrent/dvrt074
SQTE673,休日に彼女と。中出ししたいの？いいよ！笑顔のパイパン温泉旅行 小野坂ゆいか,4.6 GB,https://pics.dmm.co.jp/mono/movie/adult/sqte673/sqte673pl.jpg,https://onejav.com/torrent/sqte673/download/86481924/onejav.com_sqte673.torrent,"Beautiful Girl, Blow, Creampie, Hot Spring, Masturbation, Solowork",小野坂ゆいか,2026-04-04,https://onejav.com/torrent/sqte673
DRPT109,満員電車で羽交いじめにされ切り裂きマキシワンピの隙間から乳首だけを徹底的に開発されるアヘ顔敏感女2 小野坂ゆいか,6.0 GB,https://pics.dmm.co.jp/mono/movie/adult/1drpt109/1drpt109pl.jpg,https://onejav.com/torrent/drpt109/download/37992492/onejav.com_drpt109.torrent,"3P, 4P, Breasts, Restraint, Shame, Solowork, Squirting",小野坂ゆいか,2026-04-03,https://onejav.com/torrent/drpt109
PFES127,神風パンチラ学園 風を操れるようになった僕がイジワル1軍女子たちにパンチラさせまくり立場逆転ハーレム中出ししまくったお話。 小野坂ゆいか 前田美波 宮城りえ,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/pfes127/pfes127pl.jpg,https://onejav.com/torrent/pfes127/download/18071609/onejav.com_pfes127.torrent,"Butt, Creampie, Harem, School Girls, Skirt","小野坂ゆいか, Rie Miyagi, Minami Maeta",2026-03-27,https://onejav.com/torrent/pfes127
NSFS466,新・償い22 妻は静かに身を差し出す… 小野坂ゆいか,5.2 GB,https://pics.dmm.co.jp/mono/movie/adult/nsfs466/nsfs466pl.jpg,https://onejav.com/torrent/nsfs466/download/11669547/onejav.com_nsfs466.torrent,"Affair, Big Tits, Drama, Married Woman, Solowork",小野坂ゆいか,2026-03-21,https://onejav.com/torrent/nsfs466
MILK283,真夏の砂浜で完全燃焼！全身汗だく！ビーチバレー女子の一球入魂SEX ！小野坂ゆいか,5.3 GB,https://pics.dmm.co.jp/mono/movie/adult/h_1240milk283/h_1240milk283pl.jpg,https://onejav.com/torrent/milk283/download/85345040/onejav.com_milk283.torrent,"Beautiful Girl, Big Tits, BIGセール, Breasts, Creampie, POV, Solowork, Sport",小野坂ゆいか,2026-03-19,https://onejav.com/torrent/milk283
FSTU026,金玉スマッシュ！甘サドでベロキス好きなテニス女子 小野坂ゆいか,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/fstu026/fstu026pl.jpg,https://onejav.com/torrent/fstu026/download/69145893/onejav.com_fstu026.torrent,"3P, 4P, Handjob, Kiss, Slut, Solowork, Sport",小野坂ゆいか,2026-03-14,https://onejav.com/torrent/fstu026
SQTE667,金玉からっぽにしてあげる。小野坂ゆいか×似鳥日菜,4.3 GB,https://pics.dmm.co.jp/mono/movie/adult/sqte667/sqte667pl.jpg,https://onejav.com/torrent/sqte667/download/42497480/onejav.com_sqte667.torrent,"3P, 4P, Beautiful Girl, Blow, Male Squirting","小野坂ゆいか, 似鳥日菜",2026-03-14,https://onejav.com/torrent/sqte667
SMOK032,【肛門舐めセクハラ】ケツ穴を拡げさせられ何度もアナルクンニで舐められイキするデカ尻部下OL妻 小野坂ゆいか,6.7 GB,https://pics.dmm.co.jp/mono/movie/adult/smok032/smok032pl.jpg,https://onejav.com/torrent/smok032/download/62852338/onejav.com_smok032.torrent,"Anal, Creampie, Married Woman, OL, Solowork",小野坂ゆいか,2026-02-28,https://onejav.com/torrent/smok032
