code,title,size,image_url,torrent_url,tags,actresses,date,page_url
SNOS163,「俺以外の奴とSEXしてみないか…？」 ハプバーNTR 彼氏の言いなり都合のイイ服従カノジョ 渚あいり,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/snos163/snos163pl.jpg,https://onejav.com/torrent/snos163/download/06148024/onejav.com_snos163.torrent,"Acme · Orgasm, Beautiful Girl, Blow, Cuckold, Orgy, Solowork",渚あいり,2026-04-29,https://onejav.com/torrent/snos163
SNOS143,【床屋バイト募集】 オジさん個人経営店に来たのは奇跡の美少女！可愛すぎてムラムラして仕事にならないから即効クビにしようとしたら…まさかの彼女もエッチ興味津々の中年好き！営業中、休憩中、非番の日、ハメ放題！いつでもセックスOKズボズボ雇用関係！ 渚あいり,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/snos143/snos143pl.jpg,https://onejav.com/torrent/snos143/download/60116322/onejav.com_snos143.torrent,"Beautiful Girl, Blow, Cuckold, Kiss, Sister, Solowork",渚あいり,2026-03-20,https://onejav.com/torrent/snos143
SNOS092,お母さんを娘の私に重ねて…死んでしまった母に変わって連れ子は肉穴も義父に差し出す 愛と憎悪の父子家庭 「親は父だけ、父は私だけ…。」 渚あいり,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/snos092/snos092pl.jpg,https://onejav.com/torrent/snos092/download/55685471/onejav.com_snos092.torrent,"Acme · Orgasm, Beautiful Girl, Blow, Drama, Prank, Solowork",渚あいり,2026-02-20,https://onejav.com/torrent/snos092
SNOS067,学生時代キスも出来ないほどウブだった元カノと再会したら…セックスアピールむんむんドエロギャルに大変貌！しかも今でも僕が好きでド発情しててヤバい！ 渚あいり,6.0 GB,https://pics.dmm.co.jp/mono/movie/adult/snos067/snos067pl.jpg,https://onejav.com/torrent/snos067/download/41220178/onejav.com_snos067.torrent,"Beautiful Girl, Blow, Gal, Kiss, Slut, Solowork",渚あいり,2026-01-23,https://onejav.com/torrent/snos067
REBD1000,Airi2 Summer Sensation・渚あいり,2.9 GB,https://pics.dmm.co.jp/mono/movie/adult/h_346rebd1000/h_346rebd1000pl.jpg,https://onejav.com/torrent/rebd1000/download/40447251/onejav.com_rebd1000.torrent,"AV女優, Breasts, Image Video, Sexy, Solowork",渚あいり,2026-01-01,https://onejav.com/torrent/rebd1000
OFJE594,S1オールスター23名大集合 全7タイトル全部入り 完全ベスト版16時間 未公開の40人越え乱交初収録,39.9 GB,https://pics.dmm.co.jp/mono/movie/adult/ofje594/ofje594pl.jpg,https://onejav.com/torrent/ofje594/download/79409069/onejav.com_ofje594.torrent,"4HR+, Best, Omnibus, Big Tits, Harem, Orgy","河北彩伽, Yume Nikaidou, 金松季歩, 田野憂, Fuua Kaede, Mitsuha Ashitaba, Nana Miho, 川越にこ, 白上咲花, 渚あいり, ▼すべて表示する",2025-12-26,https://onejav.com/torrent/ofje594
SNOS026,ツンデレ幼馴染が…彼女できた僕に早漏改善トレーニングと言って嫉妬の自己アピールSEX 渚あいり,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/snos026/snos026pl.jpg,https://onejav.com/torrent/snos026/download/55639278/onejav.com_snos026.torrent,"Beautiful Girl, Blow, Cuckold, Kiss, Solowork, Uniform",渚あいり,2025-12-19,https://onejav.com/torrent/snos026
SONE988,出張先ホテルでチビのくせに生意気な新卒OLと相部屋… この絶好の機会に鷲掴みイラマレ●プで男の力の怖さを分からせてやった。 渚あいり,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/sone988/sone988pl.jpg,https://onejav.com/torrent/sone988/download/29106961/onejav.com_sone988.torrent,"Beautiful Girl, Blow, Cuckold, Deep Throating, OL, Solowork",渚あいり,2025-11-21,https://onejav.com/torrent/sone988
SONE958,アイドル級J○の万引き常習犯を捕まえた店長の俺！さてこの後、どうしてヤロウか…脅・迫・生活指導レ○プ 渚あいり,4.6 GB,https://pics.dmm.co.jp/mono/movie/adult/sone958/sone958pl.jpg,https://onejav.com/torrent/sone958/download/50649090/onejav.com_sone958.torrent,"Acme · Orgasm, Beautiful Girl, Blow, Facials, School Girls, Solowork",渚あいり,2025-10-24,https://onejav.com/torrent/sone958
SONE907,気が強くて面倒くさいチビ女がウザイので ラグビー部の力任せでバチボコに輪●してやった 渚あいり,6.1 GB,https://pics.dmm.co.jp/mono/movie/adult/sone907/sone907pl.jpg,https://onejav.com/torrent/sone907/download/16625189/onejav.com_sone907.torrent,"Acme · Orgasm, Beautiful Girl, Club Activities, Manager, Nasty, Hardcore, Slender, Solowork",渚あいり,2025-09-19,https://onejav.com/torrent/sone907
